,utter_1,utter_2,label,split_tag
13,"""I see no occasion for that. You and the girls may go, or you may send       them by themslves, which perhaps will be still better, for as you are as       handsome as any of them, Mr Bingley may like you the best of the party.""","""My dear, you flatter me. I certainly have had my share of beauty,       but I do not pretend to be anything extraordinary now. When a woman has       five grown-up daughters, she ought to give over thinking of her own       beauty.""",response,train
14,"""My dear, you flatter me. I certainly have had my share of beauty,       but I do not pretend to be anything extraordinary now. When a woman has       five grown-up daughters, she ought to give over thinking of her own       beauty.""","""In such cases, a woman has not often much beauty to think of.""",response,train
15,"""In such cases, a woman has not often much beauty to think of.""","""But, my dear, you must indeed go and see Mr Bingley when he comes into       the neighbourhood.""",response,train
16,"""But, my dear, you must indeed go and see Mr Bingley when he comes into       the neighbourhood.""","""It is more than I engage for, I assure you.""",response,train
17,"""It is more than I engage for, I assure you.""","""But consider your daughters. Only think what an establishment it would be       for one of them. Sir William and Lady Lucas are determined to go, merely       on that account, for in general, you know, they visit no newcomers. Indeed       you must go, for it will be impossible for us to visit him if you       do not.""",response,train
18,"""But consider your daughters. Only think what an establishment it would be       for one of them. Sir William and Lady Lucas are determined to go, merely       on that account, for in general, you know, they visit no newcomers. Indeed       you must go, for it will be impossible for us to visit him if you       do not.""","""You are over-scrupulous, surely. I dare say Mr Bingley will be very glad       to see you; and I will send a few lines by you to assure him of my hearty       consent to his marrying whichever he chooses of the girls; though I must       throw in a good word for my little Lizzy.""",response,train
19,"""You are over-scrupulous, surely. I dare say Mr Bingley will be very glad       to see you; and I will send a few lines by you to assure him of my hearty       consent to his marrying whichever he chooses of the girls; though I must       throw in a good word for my little Lizzy.""","""I desire you will do no such thing. Lizzy is not a bit better than the       others; and I am sure she is not half so handsome as Jane, nor half so       good-humoured as Lydia. But you are always giving her the       preference.""",response,train
20,"""I desire you will do no such thing. Lizzy is not a bit better than the       others; and I am sure she is not half so handsome as Jane, nor half so       good-humoured as Lydia. But you are always giving her the       preference.""","""They have none of them much to recommend them,"" [N] ""they are all       silly and ignorant like other girls; but Lizzy has something more of       quickness than her sisters.""",response,train
21,"""They have none of them much to recommend them,"" [N] ""they are all       silly and ignorant like other girls; but Lizzy has something more of       quickness than her sisters.""","""Mr Bennet, how can you abuse your own children in such a way? You       take delight in vexing me. You have no compassion for my poor nerves.""",response,train
22,"""Mr Bennet, how can you abuse your own children in such a way? You       take delight in vexing me. You have no compassion for my poor nerves.""","""You mistake me, my dear. I have a high respect for your nerves. They are       my old friends. I have heard you mention them with consideration these       last twenty years at least.""",response,train
23,"""You mistake me, my dear. I have a high respect for your nerves. They are       my old friends. I have heard you mention them with consideration these       last twenty years at least.""","""Ah, you do not know what I suffer.""",response,train
24,"""Ah, you do not know what I suffer.""","""But I hope you will get over it, and live to see many young men of four       thousand a year come into the neighbourhood.""",response,train
25,"""But I hope you will get over it, and live to see many young men of four       thousand a year come into the neighbourhood.""","""It will be no use to us, if twenty such should come, since you will not       visit them.""",response,train
26,"""It will be no use to us, if twenty such should come, since you will not       visit them.""","""Depend upon it, my dear, that when there are twenty, I will visit them       all.""",response,train
27,"""Depend upon it, my dear, that when there are twenty, I will visit them       all.""","""I hope Mr Bingley will like it, Lizzy.""",not_pair,train
28,"""I hope Mr Bingley will like it, Lizzy.""","""We are not in a way to know what Mr Bingley likes,"" [N] ""since we are not to visit.""",response,train
29,"""We are not in a way to know what Mr Bingley likes,"" [N] ""since we are not to visit.""","""But you forget, mamma,"" [N] ""that we shall meet him at the       assemblies, and that Mrs Long promised to introduce him.""",response,train
30,"""But you forget, mamma,"" [N] ""that we shall meet him at the       assemblies, and that Mrs Long promised to introduce him.""","""I do not believe Mrs Long will do any such thing. She has two nieces of       her own. She is a selfish, hypocritical woman, and I have no opinion of       her.""",response,train
31,"""I do not believe Mrs Long will do any such thing. She has two nieces of       her own. She is a selfish, hypocritical woman, and I have no opinion of       her.""","""No more have I,"" [N] ""and I am glad to find that you do not       depend on her serving you.""",response,train
32,"""No more have I,"" [N] ""and I am glad to find that you do not       depend on her serving you.""","""Don't keep coughing so, Kitty, for Heaven's sake! Have a little       compassion on my nerves. You tear them to pieces.""",not_pair,train
33,"""Don't keep coughing so, Kitty, for Heaven's sake! Have a little       compassion on my nerves. You tear them to pieces.""","""Kitty has no discretion in her coughs,"" [N] ""she times them       ill.""",response,train
34,"""Kitty has no discretion in her coughs,"" [N] ""she times them       ill.""","""I do not cough for my own amusement,"" [N] ""When is       your next ball to be, Lizzy?""",response,train
35,"""I do not cough for my own amusement,"" [N] ""When is       your next ball to be, Lizzy?""","""To-morrow fortnight.""",response,train
36,"""To-morrow fortnight.""","""Aye, so it is,"" [N] ""and Mrs Long does not come back till       the day before; so it will be impossible for her to introduce him, for she       will not know him herself.""",response,train
37,"""Aye, so it is,"" [N] ""and Mrs Long does not come back till       the day before; so it will be impossible for her to introduce him, for she       will not know him herself.""","""Then, my dear, you may have the advantage of your friend, and introduce       Mr Bingley to her.""",response,train
38,"""Then, my dear, you may have the advantage of your friend, and introduce       Mr Bingley to her.""","""Impossible, Mr Bennet, impossible, when I am not acquainted with him       myself; how can you be so teasing?""",response,train
39,"""Impossible, Mr Bennet, impossible, when I am not acquainted with him       myself; how can you be so teasing?""","""I honour your circumsection. A fortnight's acquaintance is certainly       very little. One cannot know what a man really is by the end of a       fortnight. But if we do not venture somebody else will; and after       all, Mrs Long and her nieces must stand their chance; and, therefore,       as she will think it an act of kindness, if you decline the office, I will       take it on myself.""",response,train
40,"""I honour your circumsection. A fortnight's acquaintance is certainly       very little. One cannot know what a man really is by the end of a       fortnight. But if we do not venture somebody else will; and after       all, Mrs Long and her nieces must stand their chance; and, therefore,       as she will think it an act of kindness, if you decline the office, I will       take it on myself.""","[N] ""Nonsense,       nonsense!""",response,train
41,"[N] ""Nonsense,       nonsense!""","""What can be the meaning of that emphatic exclamation?"" [N] ""Do you       consider the formsof introduction, and the stress that is laid on them,       as nonsense? I cannot quite agree with you there. What say you,       Mary? For you are a young lady of deep reflection, I know, and read great       books and make extracts.""",response,train
42,"""What can be the meaning of that emphatic exclamation?"" [N] ""Do you       consider the formsof introduction, and the stress that is laid on them,       as nonsense? I cannot quite agree with you there. What say you,       Mary? For you are a young lady of deep reflection, I know, and read great       books and make extracts.""","""While Mary is adjusting her ideas,"" [N] ""let us return to Mr       Bingley.""",part,train
43,"""While Mary is adjusting her ideas,"" [N] ""let us return to Mr       Bingley.""","""I am sick of Mr Bingley,"" [N]",response,train
44,"""I am sick of Mr Bingley,"" [N]","""I am sorry to hear that; but why did not you tell me that before?       If I had known as much this morning I certainly would not have called on       him. It is very unlucky; but as I have actually paid the visit, we cannot       escape the acquaintance now.""",response,train
45,"""I am sorry to hear that; but why did not you tell me that before?       If I had known as much this morning I certainly would not have called on       him. It is very unlucky; but as I have actually paid the visit, we cannot       escape the acquaintance now.""","""How good it was in you, my dear Mr Bennet! But I knew I should persuade       you at last. I was sure you loved your girls too well to neglect such an       acquaintance. Well, how pleased I am! and it is such a good joke, too,       that you should have gone this morning and never said a word about it till       now.""",not_pair,train
46,"""How good it was in you, my dear Mr Bennet! But I knew I should persuade       you at last. I was sure you loved your girls too well to neglect such an       acquaintance. Well, how pleased I am! and it is such a good joke, too,       that you should have gone this morning and never said a word about it till       now.""","""Now, Kitty, you may cough as much as you choose,"" [N]",response,train
47,"""Now, Kitty, you may cough as much as you choose,"" [N]","""What an excellent father you have, girls!"" [N] ""I do not know how you will ever make him amends for his kindness;       or me, either, for that matter. At our time of life it is not so pleasant,       I can tell you, to be making new acquaintances every day; but for your       sakes, we would do anything. Lydia, my love, though you are the       youngest, I dare say Mr Bingley will dance with you at the next ball.""",not_pair,train
48,"""What an excellent father you have, girls!"" [N] ""I do not know how you will ever make him amends for his kindness;       or me, either, for that matter. At our time of life it is not so pleasant,       I can tell you, to be making new acquaintances every day; but for your       sakes, we would do anything. Lydia, my love, though you are the       youngest, I dare say Mr Bingley will dance with you at the next ball.""","""Oh!"" [N] ""I am not afraid; for though I am the       youngest, I'm the tallest.""",response,train
49,"""Oh!"" [N] ""I am not afraid; for though I am the       youngest, I'm the tallest.""","""If I can but see one of my daughters happily settled at Netherfield,"" [N] ""and all the others equally well married,       I shall have nothing to wish for.""",not_pair,train
50,"""If I can but see one of my daughters happily settled at Netherfield,"" [N] ""and all the others equally well married,       I shall have nothing to wish for.""","""Come, Darcy,"" [N] ""I must have you dance. I hate to see you standing       about by yourself in this stupid manner. You had much better dance.""",not_pair,train
51,"""Come, Darcy,"" [N] ""I must have you dance. I hate to see you standing       about by yourself in this stupid manner. You had much better dance.""","""I certainly shall not. You know how I detest it, unless I am particularly       acquainted with my partner. At such an assembly as this it would be       insupportable. Your sisters are engaged, and there is not another woman in       the room whom it would not be a punishment to me to stand up with.""",response,train
52,"""I certainly shall not. You know how I detest it, unless I am particularly       acquainted with my partner. At such an assembly as this it would be       insupportable. Your sisters are engaged, and there is not another woman in       the room whom it would not be a punishment to me to stand up with.""","""I would not be so fastidious as you are,"" [N] ""for a       kingdom! Upon my honour, I never met with so many pleasant girls in my       life as I have this evening; and there are several of them you see       uncommonly pretty.""",response,train
53,"""I would not be so fastidious as you are,"" [N] ""for a       kingdom! Upon my honour, I never met with so many pleasant girls in my       life as I have this evening; and there are several of them you see       uncommonly pretty.""","""You are dancing with the only handsome girl in the room,"" [N]",response,train
54,"""You are dancing with the only handsome girl in the room,"" [N]","""Oh! She is the most beautiful creature I ever beheld! But there is one of       her sisters sitting down just behind you, who is very pretty, and I dare       say very agreeable. Do let me ask my partner to introduce you.""",response,train
55,"""Oh! She is the most beautiful creature I ever beheld! But there is one of       her sisters sitting down just behind you, who is very pretty, and I dare       say very agreeable. Do let me ask my partner to introduce you.""","""Which do you mean?"" [N] ""She is tolerable, but not handsome enough to tempt me; I am in no       humour at present to give consequence to young ladies who are slighted by       other men. You had better return to your partner and enjoy her smiles, for       you are wasting your time with me.""",response,train
56,"""Which do you mean?"" [N] ""She is tolerable, but not handsome enough to tempt me; I am in no       humour at present to give consequence to young ladies who are slighted by       other men. You had better return to your partner and enjoy her smiles, for       you are wasting your time with me.""","""Oh! my dear Mr Bennet,"" [N] ""we have had a most       delightful evening, a most excellent ball. I wish you had been there. Jane       was so admired, nothing could be like it. Everybody said how well she       looked; and Mr Bingley thought her quite beautiful, and danced with her       twice! Only think of that, my dear; he actually danced with her       twice! and she was the only creature in the room that he asked a second       time. First of all, he asked MissLucas. I was so vexed to see him stand       up with her! But, however, he did not admire her at all; indeed, nobody       can, you know; and he seemed quite struck with Jane as she was going down       the dance. So he inquired who she was, and got introduced, and asked her       for the two next. Then the two third he danced with MissKing, and the two       fourth with Maria Lucas, and the two fifth with Jane again, and the two       sixth with Lizzy, and the Boulanger—""",not_pair,train
57,"""Oh! my dear Mr Bennet,"" [N] ""we have had a most       delightful evening, a most excellent ball. I wish you had been there. Jane       was so admired, nothing could be like it. Everybody said how well she       looked; and Mr Bingley thought her quite beautiful, and danced with her       twice! Only think of that, my dear; he actually danced with her       twice! and she was the only creature in the room that he asked a second       time. First of all, he asked MissLucas. I was so vexed to see him stand       up with her! But, however, he did not admire her at all; indeed, nobody       can, you know; and he seemed quite struck with Jane as she was going down       the dance. So he inquired who she was, and got introduced, and asked her       for the two next. Then the two third he danced with MissKing, and the two       fourth with Maria Lucas, and the two fifth with Jane again, and the two       sixth with Lizzy, and the Boulanger—""","""If he had had any compassion for me,"" [N] ""he would not have danced half so much! For God's sake, say       no more of his partners. Oh that he had sprained his ankle in the first       dance!""",response,train
58,"""If he had had any compassion for me,"" [N] ""he would not have danced half so much! For God's sake, say       no more of his partners. Oh that he had sprained his ankle in the first       dance!""","""Oh! my dear, I am quite delighted with him. He is so excessively       handsome! And his sisters are charming women. I never in my life saw       anything more elegant than their dresses. I dare say the lace upon Mrs       Hurst's gown—""",response,train
59,"""Oh! my dear, I am quite delighted with him. He is so excessively       handsome! And his sisters are charming women. I never in my life saw       anything more elegant than their dresses. I dare say the lace upon Mrs       Hurst's gown—""","""But I can assure you,"" [N] ""that Lizzy does not lose much by not       suiting his fancy; for he is a most disagreeable, horrid man, not       at all worth pleasing. So high and so conceited that there was no enduring       him! He walked here, and he walked there, fancying himslf so very great!       Not handsome enough to dance with! I wish you had been there, my dear, to       have given him one of your set-downs. I quite detest the man.""",part,train
60,"""But I can assure you,"" [N] ""that Lizzy does not lose much by not       suiting his fancy; for he is a most disagreeable, horrid man, not       at all worth pleasing. So high and so conceited that there was no enduring       him! He walked here, and he walked there, fancying himslf so very great!       Not handsome enough to dance with! I wish you had been there, my dear, to       have given him one of your set-downs. I quite detest the man.""","""He is just what a young man ought to be,"" [N] ""sensible,       good-humoured, lively; and I never saw such happy manners!—so much       ease, with such perfect good breeding!""",not_pair,train
61,"""He is just what a young man ought to be,"" [N] ""sensible,       good-humoured, lively; and I never saw such happy manners!—so much       ease, with such perfect good breeding!""","""He is also handsome,"" [N] ""which a young man ought       likewise to be, if he possibly can. His character is thereby complete.""",response,train
62,"""He is also handsome,"" [N] ""which a young man ought       likewise to be, if he possibly can. His character is thereby complete.""","""I was very much flattered by his asking me to dance a second time. I did       not expect such a compliment.""",response,train
63,"""I was very much flattered by his asking me to dance a second time. I did       not expect such a compliment.""","""Did not you? I did for you. But that is one great difference between us.       Compliments always take you by surprise, and me never. What       could be more natural than his asking you again? He could not help seeing       that you were about five times as pretty as every other woman in the room.       No thanks to his gallantry for that. Well, he certainly is very agreeable,       and I give you leave to like him. You have liked many a stupider person.""",response,train
64,"""Did not you? I did for you. But that is one great difference between us.       Compliments always take you by surprise, and me never. What       could be more natural than his asking you again? He could not help seeing       that you were about five times as pretty as every other woman in the room.       No thanks to his gallantry for that. Well, he certainly is very agreeable,       and I give you leave to like him. You have liked many a stupider person.""","""Dear Lizzy!""",response,train
65,"""Dear Lizzy!""","""Oh! you are a great deal too apt, you know, to like people in general.       You never see a fault in anybody. All the world are good and agreeable in       your eyes. I never heard you speak ill of a human being in your life.""",response,train
66,"""Oh! you are a great deal too apt, you know, to like people in general.       You never see a fault in anybody. All the world are good and agreeable in       your eyes. I never heard you speak ill of a human being in your life.""","""I would not wish to be hasty in censuring anyone; but I always speak what       I think.""",response,train
67,"""I would not wish to be hasty in censuring anyone; but I always speak what       I think.""","""I know you do; and it is that which makes the wonder. With your       good sense, to be so honestly blind to the follies and nonsense of others!       Affectation of candour is common enough—one meets with it       everywhere. But to be candid without ostentation or design—to take       the good of everybody's character and make it still better, and say       nothing of the bad—belongs to you alone. And so you like this man's       sisters, too, do you? Their manners are not equal to his.""",response,train
68,"""I know you do; and it is that which makes the wonder. With your       good sense, to be so honestly blind to the follies and nonsense of others!       Affectation of candour is common enough—one meets with it       everywhere. But to be candid without ostentation or design—to take       the good of everybody's character and make it still better, and say       nothing of the bad—belongs to you alone. And so you like this man's       sisters, too, do you? Their manners are not equal to his.""","""Certainly not—at first. But they are very pleasing women when you       converse with them. MissBingley is to live with her brother, and keep his       house; and I am much mistaken if we shall not find a very charming       neighbour in her.""",response,train
69,"""Certainly not—at first. But they are very pleasing women when you       converse with them. MissBingley is to live with her brother, and keep his       house; and I am much mistaken if we shall not find a very charming       neighbour in her.""","""You began the evening well, Charlotte,"" [N] ""You were Mr Bingley's first       choice.""",not_pair,train
70,"""You began the evening well, Charlotte,"" [N] ""You were Mr Bingley's first       choice.""","""Yes; but he seemed to like his second better.""",response,train
71,"""Yes; but he seemed to like his second better.""","""Oh! you mean Jane, I suppose, because he danced with her twice. To be       sure that did seem as if he admired her—indeed I rather       believe he did—I heard something about it—but I hardly       know what—something about Mr Robinson.""",response,train
72,"""Oh! you mean Jane, I suppose, because he danced with her twice. To be       sure that did seem as if he admired her—indeed I rather       believe he did—I heard something about it—but I hardly       know what—something about Mr Robinson.""","""Perhaps you mean what I overheard between him and Mr Robinson; did not I       mention it to you? Mr Robinson's asking him how he liked our Meryton       assemblies, and whether he did not think there were a great many pretty       women in the room, and which he thought the prettiest? and his       answering immediately to the last question: 'Oh! the eldest MissBennet,       beyond a doubt; there cannot be two opinions on that point.'""",response,train
73,"""Perhaps you mean what I overheard between him and Mr Robinson; did not I       mention it to you? Mr Robinson's asking him how he liked our Meryton       assemblies, and whether he did not think there were a great many pretty       women in the room, and which he thought the prettiest? and his       answering immediately to the last question: 'Oh! the eldest MissBennet,       beyond a doubt; there cannot be two opinions on that point.'""","""Upon my word! Well, that is very decided indeed—that does seem as       if—but, however, it may all come to nothing, you know.""",response,train
74,"""Upon my word! Well, that is very decided indeed—that does seem as       if—but, however, it may all come to nothing, you know.""","""My overhearings were more to the purpose than yours,       Eliza,"" [N] ""Mr Darcy is not so well worth listening to as       his friend, is he?—poor Eliza!—to be only just tolerable.""",response,train
75,"""My overhearings were more to the purpose than yours,       Eliza,"" [N] ""Mr Darcy is not so well worth listening to as       his friend, is he?—poor Eliza!—to be only just tolerable.""","""I beg you would not put it into Lizzy's head to be vexed by his       ill-treatment, for he is such a disagreeable man, that it would be quite a       misfortune to be liked by him. Mrs Long told me last night that he sat       close to her for half-an-hour without once opening his lips.""",response,train
76,"""I beg you would not put it into Lizzy's head to be vexed by his       ill-treatment, for he is such a disagreeable man, that it would be quite a       misfortune to be liked by him. Mrs Long told me last night that he sat       close to her for half-an-hour without once opening his lips.""","""Are you quite sure, ma'am?—is not there a little mistake?"" [N] ""I certainly saw Mr Darcy speaking to her.""",response,train
77,"""Are you quite sure, ma'am?—is not there a little mistake?"" [N] ""I certainly saw Mr Darcy speaking to her.""","""Aye—because she asked him at last how he liked Netherfield, and he       could not help answering her; but she said he seemed quite angry at being       spoke to.""",response,train
78,"""Aye—because she asked him at last how he liked Netherfield, and he       could not help answering her; but she said he seemed quite angry at being       spoke to.""","""MissBingley told me,"" [N] ""that he never speaks much, unless       among his intimate acquaintances. With them he is remarkably       agreeable.""",response,train
79,"""MissBingley told me,"" [N] ""that he never speaks much, unless       among his intimate acquaintances. With them he is remarkably       agreeable.""","""I do not believe a word of it, my dear. If he had been so very agreeable,       he would have talked to Mrs Long. But I can guess how it was; everybody       says that he is eat up with pride, and I dare say he had heard somehow       that Mrs Long does not keep a carriage, and had come to the ball in a       hack chaise.""",response,train
80,"""I do not believe a word of it, my dear. If he had been so very agreeable,       he would have talked to Mrs Long. But I can guess how it was; everybody       says that he is eat up with pride, and I dare say he had heard somehow       that Mrs Long does not keep a carriage, and had come to the ball in a       hack chaise.""","""I do not mind his not talking to Mrs Long,"" [N] ""but I wish       he had danced with Eliza.""",response,train
81,"""I do not mind his not talking to Mrs Long,"" [N] ""but I wish       he had danced with Eliza.""","""Another time, Lizzy,"" [N] ""I would not dance with him,       if I were you.""",response,train
82,"""Another time, Lizzy,"" [N] ""I would not dance with him,       if I were you.""","""I believe, ma'am, I may safely promise you never to dance with       him.""",response,train
83,"""I believe, ma'am, I may safely promise you never to dance with       him.""","""His pride,"" [N] ""does not offend me so much as pride       often does, because there is an excuse for it. One cannot wonder that so       very fine a young man, with family, fortune, everything in his favour,       should think highly of himslf. If I may so express it, he has a right       to be proud.""",response,train
84,"""His pride,"" [N] ""does not offend me so much as pride       often does, because there is an excuse for it. One cannot wonder that so       very fine a young man, with family, fortune, everything in his favour,       should think highly of himslf. If I may so express it, he has a right       to be proud.""","""That is very true,"" [N] ""and I could easily forgive his       pride, if he had not mortified mine.""",response,train
85,"""That is very true,"" [N] ""and I could easily forgive his       pride, if he had not mortified mine.""","""Pride,"" [N] ""is a very common failing, I believe. By all that I have ever       read, I am convinced that it is very common indeed; that human nature is       particularly prone to it, and that there are very few of us who do not       cherish a feeling of self-complacency on the score of some quality or       other, real or imaginary. Vanity and pride are different things, though       the words are often used synonymously. A person may be proud without being       vain. Pride relates more to our opinion of ourselves, vanity to what we       would have others think of us.""",response,train
86,"""Pride,"" [N] ""is a very common failing, I believe. By all that I have ever       read, I am convinced that it is very common indeed; that human nature is       particularly prone to it, and that there are very few of us who do not       cherish a feeling of self-complacency on the score of some quality or       other, real or imaginary. Vanity and pride are different things, though       the words are often used synonymously. A person may be proud without being       vain. Pride relates more to our opinion of ourselves, vanity to what we       would have others think of us.""","""If I were as rich as Mr Darcy,"" [N] ""I should not care how proud I was. I would keep a pack of       foxhounds, and drink a bottle of wine a day.""",response,train
87,"""If I were as rich as Mr Darcy,"" [N] ""I should not care how proud I was. I would keep a pack of       foxhounds, and drink a bottle of wine a day.""","""Then you would drink a great deal more than you ought,"" [N] ""and if I were to see you at it, I should take away your bottle directly.""",response,train
88,"""Then you would drink a great deal more than you ought,"" [N] ""and if I were to see you at it, I should take away your bottle directly.""","""It may perhaps be pleasant,"" [N] ""to be able to impose on       the public in such a case; but it is sometimes a disadvantage to be so       very guarded. If a woman conceals her affection with the same skill from       the object of it, she may lose the opportunity of fixing him; and it will       then be but poor consolation to believe the world equally in the dark.       There is so much of gratitude or vanity in almost every attachment, that       it is not safe to leave any to itself. We can all begin freely—a       slight preference is natural enough; but there are very few of us who have       heart enough to be really in love without encouragement. In nine cases out       of ten a women had better show more affection than she feels.       Bingley likes your sister undoubtedly; but he may never do more than like       her, if she does not help him on.""",not_pair,train
89,"""It may perhaps be pleasant,"" [N] ""to be able to impose on       the public in such a case; but it is sometimes a disadvantage to be so       very guarded. If a woman conceals her affection with the same skill from       the object of it, she may lose the opportunity of fixing him; and it will       then be but poor consolation to believe the world equally in the dark.       There is so much of gratitude or vanity in almost every attachment, that       it is not safe to leave any to itself. We can all begin freely—a       slight preference is natural enough; but there are very few of us who have       heart enough to be really in love without encouragement. In nine cases out       of ten a women had better show more affection than she feels.       Bingley likes your sister undoubtedly; but he may never do more than like       her, if she does not help him on.""","""But she does help him on, as much as her nature will allow. If I can       perceive her regard for him, he must be a simpleton, indeed, not to       discover it too.""",response,train
90,"""But she does help him on, as much as her nature will allow. If I can       perceive her regard for him, he must be a simpleton, indeed, not to       discover it too.""","""Remember, Eliza, that he does not know Jane's disposition as you do.""",response,train
91,"""Remember, Eliza, that he does not know Jane's disposition as you do.""","""But if a woman is partial to a man, and does not endeavour to conceal it,       he must find it out.""",response,train
92,"""But if a woman is partial to a man, and does not endeavour to conceal it,       he must find it out.""","""Perhaps he must, if he sees enough of her. But, though Bingley and Jane       meet tolerably often, it is never for many hours together; and, as they       always see each other in large mixed parties, it is impossible that every       moment should be employed in conversing together. Jane should therefore       make the most of every half-hour in which she can command his attention.       When she is secure of him, there will be more leisure for falling in love       as much as she chooses.""",response,train
93,"""Perhaps he must, if he sees enough of her. But, though Bingley and Jane       meet tolerably often, it is never for many hours together; and, as they       always see each other in large mixed parties, it is impossible that every       moment should be employed in conversing together. Jane should therefore       make the most of every half-hour in which she can command his attention.       When she is secure of him, there will be more leisure for falling in love       as much as she chooses.""","""Your plan is a good one,"" [N] ""where nothing is in       question but the desire of being well married, and if I were determined to       get a rich husband, or any husband, I dare say I should adopt it. But       these are not Jane's feelings; she is not acting by design. As yet, she       cannot even be certain of the degree of her own regard nor of its       reasonableness. She has known him only a fortnight. She danced four dances       with him at Meryton; she saw him one morning at his own house, and has       since dined with him in company four times. This is not quite enough to       make her understand his character.""",response,train
94,"""Your plan is a good one,"" [N] ""where nothing is in       question but the desire of being well married, and if I were determined to       get a rich husband, or any husband, I dare say I should adopt it. But       these are not Jane's feelings; she is not acting by design. As yet, she       cannot even be certain of the degree of her own regard nor of its       reasonableness. She has known him only a fortnight. She danced four dances       with him at Meryton; she saw him one morning at his own house, and has       since dined with him in company four times. This is not quite enough to       make her understand his character.""","""Not as you represent it. Had she merely dined with him, she might       only have discovered whether he had a good appetite; but you must remember       that four evenings have also been spent together—and four evenings       may do a great deal.""",response,train
95,"""Not as you represent it. Had she merely dined with him, she might       only have discovered whether he had a good appetite; but you must remember       that four evenings have also been spent together—and four evenings       may do a great deal.""","""Yes; these four evenings have enabled them to ascertain that they both       like Vingt-un better than Commerce; but with respect to any other leading       characteristic, I do not imagine that much has been unfolded.""",response,train
96,"""Yes; these four evenings have enabled them to ascertain that they both       like Vingt-un better than Commerce; but with respect to any other leading       characteristic, I do not imagine that much has been unfolded.""","""Well,"" [N] ""I wish Jane success with all my heart; and if she       were married to him to-morrow, I should think she had as good a chance of       happiness as if she were to be studying his character for a twelvemonth.       Happiness in marriage is entirely a matter of chance. If the dispositions       of the parties are ever so well known to each other or ever so similar       beforehand, it does not advance their felicity in the least. They always       continue to grow sufficiently unlike afterwards to have their share of       vexation; and it is better to know as little as possible of the defects of       the person with whom you are to pass your life.""",response,train
97,"""Well,"" [N] ""I wish Jane success with all my heart; and if she       were married to him to-morrow, I should think she had as good a chance of       happiness as if she were to be studying his character for a twelvemonth.       Happiness in marriage is entirely a matter of chance. If the dispositions       of the parties are ever so well known to each other or ever so similar       beforehand, it does not advance their felicity in the least. They always       continue to grow sufficiently unlike afterwards to have their share of       vexation; and it is better to know as little as possible of the defects of       the person with whom you are to pass your life.""","""You make me laugh, Charlotte; but it is not sound. You know it is not       sound, and that you would never act in this way yourself.""",response,train
98,"""You make me laugh, Charlotte; but it is not sound. You know it is not       sound, and that you would never act in this way yourself.""","""What does Mr Darcy mean,"" [N] ""by listening to my       conversation with Colonel Forster?""",not_pair,train
99,"""What does Mr Darcy mean,"" [N] ""by listening to my       conversation with Colonel Forster?""","""That is a question which Mr Darcy only can answer.""",response,train
100,"""That is a question which Mr Darcy only can answer.""","""But if he does it any more I shall certainly let him know that I see what       he is about. He has a very satirical eye, and if I do not begin by being       impertinent myself, I shall soon grow afraid of him.""",response,train
