,sent_index,tag,para_index,position_tag,speaker_tag,type_tag,tokenized_sent,chapter_tag,label,split_tag,tokenized_sent_clean
10,17,"(17, '1', '', 'c_1', 'Chapter 1', '""My dear Mr Bennet,"" [N] ""how can you be so tiresome! You       must know that I am thinking of his marrying one of them.""')",17,1,,c_1,"""My dear Mr Bennet,"" [N] ""how can you be so tiresome! You       must know that I am thinking of his marrying one of them.""",Chapter 1,response,train,"My dear Mr Bennet, [N] how can you be so tiresome! You       must know that I am thinking of his marrying one of them."
11,18,"(18, '2', '', 'c_1', 'Chapter 1', '""Is that his design in settling here?""')",18,2,,c_1,"""Is that his design in settling here?""",Chapter 1,response,train,Is that his design in settling here?
12,19,"(19, '1', '', 'c_1', 'Chapter 1', '""Design! Nonsense, how can you talk so! But it is very likely that he may       fall in love with one of them, and therefore you must visit him as soon as       he comes.""')",19,1,,c_1,"""Design! Nonsense, how can you talk so! But it is very likely that he may       fall in love with one of them, and therefore you must visit him as soon as       he comes.""",Chapter 1,response,train,"Design! Nonsense, how can you talk so! But it is very likely that he may       fall in love with one of them, and therefore you must visit him as soon as       he comes."
13,20,"(20, '2', '', 'c_1', 'Chapter 1', '""I see no occasion for that. You and the girls may go, or you may send       them by themslves, which perhaps will be still better, for as you are as       handsome as any of them, Mr Bingley may like you the best of the party.""')",20,2,,c_1,"""I see no occasion for that. You and the girls may go, or you may send       them by themslves, which perhaps will be still better, for as you are as       handsome as any of them, Mr Bingley may like you the best of the party.""",Chapter 1,response,train,"I see no occasion for that. You and the girls may go, or you may send       them by themslves, which perhaps will be still better, for as you are as       handsome as any of them, Mr Bingley may like you the best of the party."
14,21,"(21, '1', '', 'c_1', 'Chapter 1', '""My dear, you flatter me. I certainly have had my share of beauty,       but I do not pretend to be anything extraordinary now. When a woman has       five grown-up daughters, she ought to give over thinking of her own       beauty.""')",21,1,,c_1,"""My dear, you flatter me. I certainly have had my share of beauty,       but I do not pretend to be anything extraordinary now. When a woman has       five grown-up daughters, she ought to give over thinking of her own       beauty.""",Chapter 1,response,train,"My dear, you flatter me. I certainly have had my share of beauty,       but I do not pretend to be anything extraordinary now. When a woman has       five grown-up daughters, she ought to give over thinking of her own       beauty."
15,22,"(22, '2', '', 'c_1', 'Chapter 1', '""In such cases, a woman has not often much beauty to think of.""')",22,2,,c_1,"""In such cases, a woman has not often much beauty to think of.""",Chapter 1,response,train,"In such cases, a woman has not often much beauty to think of."
16,23,"(23, '1', '', 'c_1', 'Chapter 1', '""But, my dear, you must indeed go and see Mr Bingley when he comes into       the neighbourhood.""')",23,1,,c_1,"""But, my dear, you must indeed go and see Mr Bingley when he comes into       the neighbourhood.""",Chapter 1,response,train,"But, my dear, you must indeed go and see Mr Bingley when he comes into       the neighbourhood."
17,24,"(24, '2', '', 'c_1', 'Chapter 1', '""It is more than I engage for, I assure you.""')",24,2,,c_1,"""It is more than I engage for, I assure you.""",Chapter 1,response,train,"It is more than I engage for, I assure you."
18,25,"(25, '1', '', 'c_1', 'Chapter 1', '""But consider your daughters. Only think what an establishment it would be       for one of them. Sir William and Lady Lucas are determined to go, merely       on that account, for in general, you know, they visit no newcomers. Indeed       you must go, for it will be impossible for us to visit him if you       do not.""')",25,1,,c_1,"""But consider your daughters. Only think what an establishment it would be       for one of them. Sir William and Lady Lucas are determined to go, merely       on that account, for in general, you know, they visit no newcomers. Indeed       you must go, for it will be impossible for us to visit him if you       do not.""",Chapter 1,response,train,"But consider your daughters. Only think what an establishment it would be       for one of them. Sir William and Lady Lucas are determined to go, merely       on that account, for in general, you know, they visit no newcomers. Indeed       you must go, for it will be impossible for us to visit him if you       do not."
19,26,"(26, '2', '', 'c_1', 'Chapter 1', '""You are over-scrupulous, surely. I dare say Mr Bingley will be very glad       to see you; and I will send a few lines by you to assure him of my hearty       consent to his marrying whichever he chooses of the girls; though I must       throw in a good word for my little Lizzy.""')",26,2,,c_1,"""You are over-scrupulous, surely. I dare say Mr Bingley will be very glad       to see you; and I will send a few lines by you to assure him of my hearty       consent to his marrying whichever he chooses of the girls; though I must       throw in a good word for my little Lizzy.""",Chapter 1,response,train,"You are over-scrupulous, surely. I dare say Mr Bingley will be very glad       to see you; and I will send a few lines by you to assure him of my hearty       consent to his marrying whichever he chooses of the girls; though I must       throw in a good word for my little Lizzy."
20,27,"(27, '1', '', 'c_1', 'Chapter 1', '""I desire you will do no such thing. Lizzy is not a bit better than the       others; and I am sure she is not half so handsome as Jane, nor half so       good-humoured as Lydia. But you are always giving her the       preference.""')",27,1,,c_1,"""I desire you will do no such thing. Lizzy is not a bit better than the       others; and I am sure she is not half so handsome as Jane, nor half so       good-humoured as Lydia. But you are always giving her the       preference.""",Chapter 1,response,train,"I desire you will do no such thing. Lizzy is not a bit better than the       others; and I am sure she is not half so handsome as Jane, nor half so       good-humoured as Lydia. But you are always giving her the       preference."
21,28,"(28, '2', '', 'c_1', 'Chapter 1', '""They have none of them much to recommend them,"" [N] ""they are all       silly and ignorant like other girls; but Lizzy has something more of       quickness than her sisters.""')",28,2,,c_1,"""They have none of them much to recommend them,"" [N] ""they are all       silly and ignorant like other girls; but Lizzy has something more of       quickness than her sisters.""",Chapter 1,response,train,"They have none of them much to recommend them, [N] they are all       silly and ignorant like other girls; but Lizzy has something more of       quickness than her sisters."
22,29,"(29, '1', '', 'c_1', 'Chapter 1', '""Mr Bennet, how can you abuse your own children in such a way? You       take delight in vexing me. You have no compassion for my poor nerves.""')",29,1,,c_1,"""Mr Bennet, how can you abuse your own children in such a way? You       take delight in vexing me. You have no compassion for my poor nerves.""",Chapter 1,response,train,"Mr Bennet, how can you abuse your own children in such a way? You       take delight in vexing me. You have no compassion for my poor nerves."
23,30,"(30, '2', '', 'c_1', 'Chapter 1', '""You mistake me, my dear. I have a high respect for your nerves. They are       my old friends. I have heard you mention them with consideration these       last twenty years at least.""')",30,2,,c_1,"""You mistake me, my dear. I have a high respect for your nerves. They are       my old friends. I have heard you mention them with consideration these       last twenty years at least.""",Chapter 1,response,train,"You mistake me, my dear. I have a high respect for your nerves. They are       my old friends. I have heard you mention them with consideration these       last twenty years at least."
24,31,"(31, '1', '', 'c_1', 'Chapter 1', '""Ah, you do not know what I suffer.""')",31,1,,c_1,"""Ah, you do not know what I suffer.""",Chapter 1,response,train,"Ah, you do not know what I suffer."
25,32,"(32, '2', '', 'c_1', 'Chapter 1', '""But I hope you will get over it, and live to see many young men of four       thousand a year come into the neighbourhood.""')",32,2,,c_1,"""But I hope you will get over it, and live to see many young men of four       thousand a year come into the neighbourhood.""",Chapter 1,response,train,"But I hope you will get over it, and live to see many young men of four       thousand a year come into the neighbourhood."
26,33,"(33, '1', '', 'c_1', 'Chapter 1', '""It will be no use to us, if twenty such should come, since you will not       visit them.""')",33,1,,c_1,"""It will be no use to us, if twenty such should come, since you will not       visit them.""",Chapter 1,response,train,"It will be no use to us, if twenty such should come, since you will not       visit them."
27,34,"(34, '2', '', 'c_1', 'Chapter 1', '""Depend upon it, my dear, that when there are twenty, I will visit them       all.""')",34,2,,c_1,"""Depend upon it, my dear, that when there are twenty, I will visit them       all.""",Chapter 1,response,train,"Depend upon it, my dear, that when there are twenty, I will visit them       all."
28,38,"(38, '1', 'Father', 'c_2', 'Chapter 2', '""I hope Mr Bingley will like it, Lizzy.""')",38,1,Father,c_2,"""I hope Mr Bingley will like it, Lizzy.""",Chapter 2,not,train,"I hope Mr Bingley will like it, Lizzy."
29,39,"(39, '2', 'Mother', 'c_2', 'Chapter 2', '""We are not in a way to know what Mr Bingley likes,"" [N] ""since we are not to visit.""')",39,2,Mother,c_2,"""We are not in a way to know what Mr Bingley likes,"" [N] ""since we are not to visit.""",Chapter 2,response,train,"We are not in a way to know what Mr Bingley likes, [N] since we are not to visit."
30,40,"(40, '3', 'Elizabeth', 'c_2', 'Chapter 2', '""But you forget, mamma,"" [N] ""that we shall meet him at the       assemblies, and that Mrs Long promised to introduce him.""')",40,3,Elizabeth,c_2,"""But you forget, mamma,"" [N] ""that we shall meet him at the       assemblies, and that Mrs Long promised to introduce him.""",Chapter 2,response,train,"But you forget, mamma, [N] that we shall meet him at the       assemblies, and that Mrs Long promised to introduce him."
31,41,"(41, '2', '', 'c_2', 'Chapter 2', '""I do not believe Mrs Long will do any such thing. She has two nieces of       her own. She is a selfish, hypocritical woman, and I have no opinion of       her.""')",41,2,,c_2,"""I do not believe Mrs Long will do any such thing. She has two nieces of       her own. She is a selfish, hypocritical woman, and I have no opinion of       her.""",Chapter 2,response,train,"I do not believe Mrs Long will do any such thing. She has two nieces of       her own. She is a selfish, hypocritical woman, and I have no opinion of       her."
32,42,"(42, '1', '', 'c_2', 'Chapter 2', '""No more have I,"" [N] ""and I am glad to find that you do not       depend on her serving you.""')",42,1,,c_2,"""No more have I,"" [N] ""and I am glad to find that you do not       depend on her serving you.""",Chapter 2,response,train,"No more have I, [N] and I am glad to find that you do not       depend on her serving you."
33,44,"(44, '1', 'mother', 'c_3', 'Chapter 2', '""Don\'t keep coughing so, Kitty, for Heaven\'s sake! Have a little       compassion on my nerves. You tear them to pieces.""')",44,1,mother,c_3,"""Don't keep coughing so, Kitty, for Heaven's sake! Have a little       compassion on my nerves. You tear them to pieces.""",Chapter 2,not,train,"Don't keep coughing so, Kitty, for Heaven's sake! Have a little       compassion on my nerves. You tear them to pieces."
34,45,"(45, '2', 'father', 'c_3', 'Chapter 2', '""Kitty has no discretion in her coughs,"" [N] ""she times them       ill.""')",45,2,father,c_3,"""Kitty has no discretion in her coughs,"" [N] ""she times them       ill.""",Chapter 2,response,train,"Kitty has no discretion in her coughs, [N] she times them       ill."
35,46,"(46, '3', 'kitty', 'c_3', 'Chapter 2', '""I do not cough for my own amusement,"" [N] ""When is       your next ball to be, Lizzy?""')",46,3,kitty,c_3,"""I do not cough for my own amusement,"" [N] ""When is       your next ball to be, Lizzy?""",Chapter 2,response,train,"I do not cough for my own amusement, [N] When is       your next ball to be, Lizzy?"
36,47,"(47, '4', 'elizabeth', 'c_3', 'Chapter 2', '""To-morrow fortnight.""')",47,4,elizabeth,c_3,"""To-morrow fortnight.""",Chapter 2,response,train,To-morrow fortnight.
37,48,"(48, '1', '', 'c_3', 'Chapter 2', '""Aye, so it is,"" [N] ""and Mrs Long does not come back till       the day before; so it will be impossible for her to introduce him, for she       will not know him herself.""')",48,1,,c_3,"""Aye, so it is,"" [N] ""and Mrs Long does not come back till       the day before; so it will be impossible for her to introduce him, for she       will not know him herself.""",Chapter 2,response,train,"Aye, so it is, [N] and Mrs Long does not come back till       the day before; so it will be impossible for her to introduce him, for she       will not know him herself."
38,49,"(49, '2', '', 'c_3', 'Chapter 2', '""Then, my dear, you may have the advantage of your friend, and introduce       Mr Bingley to her.""')",49,2,,c_3,"""Then, my dear, you may have the advantage of your friend, and introduce       Mr Bingley to her.""",Chapter 2,response,train,"Then, my dear, you may have the advantage of your friend, and introduce       Mr Bingley to her."
39,50,"(50, '1', '', 'c_3', 'Chapter 2', '""Impossible, Mr Bennet, impossible, when I am not acquainted with him       myself; how can you be so teasing?""')",50,1,,c_3,"""Impossible, Mr Bennet, impossible, when I am not acquainted with him       myself; how can you be so teasing?""",Chapter 2,response,train,"Impossible, Mr Bennet, impossible, when I am not acquainted with him       myself; how can you be so teasing?"
40,51,"(51, '2', '', 'c_3', 'Chapter 2', '""I honour your circumsection. A fortnight\'s acquaintance is certainly       very little. One cannot know what a man really is by the end of a       fortnight. But if we do not venture somebody else will; and after       all, Mrs Long and her nieces must stand their chance; and, therefore,       as she will think it an act of kindness, if you decline the office, I will       take it on myself.""')",51,2,,c_3,"""I honour your circumsection. A fortnight's acquaintance is certainly       very little. One cannot know what a man really is by the end of a       fortnight. But if we do not venture somebody else will; and after       all, Mrs Long and her nieces must stand their chance; and, therefore,       as she will think it an act of kindness, if you decline the office, I will       take it on myself.""",Chapter 2,response,train,"I honour your circumsection. A fortnight's acquaintance is certainly       very little. One cannot know what a man really is by the end of a       fortnight. But if we do not venture somebody else will; and after       all, Mrs Long and her nieces must stand their chance; and, therefore,       as she will think it an act of kindness, if you decline the office, I will       take it on myself."
41,52,"(52, '1', '', 'c_3', 'Chapter 2', '[N] ""Nonsense,       nonsense!""')",52,1,,c_3,"[N] ""Nonsense,       nonsense!""",Chapter 2,response,train,"[N] Nonsense,       nonsense!"
42,53,"(53, '2', '', 'c_3', 'Chapter 2', '""What can be the meaning of that emphatic exclamation?"" [N] ""Do you       consider the formsof introduction, and the stress that is laid on them,       as nonsense? I cannot quite agree with you there. What say you,       Mary? For you are a young lady of deep reflection, I know, and read great       books and make extracts.""')",53,2,,c_3,"""What can be the meaning of that emphatic exclamation?"" [N] ""Do you       consider the formsof introduction, and the stress that is laid on them,       as nonsense? I cannot quite agree with you there. What say you,       Mary? For you are a young lady of deep reflection, I know, and read great       books and make extracts.""",Chapter 2,response,train,"What can be the meaning of that emphatic exclamation? [N] Do you       consider the formsof introduction, and the stress that is laid on them,       as nonsense? I cannot quite agree with you there. What say you,       Mary? For you are a young lady of deep reflection, I know, and read great       books and make extracts."
43,55,"(55, '2', '', 'c_3', 'Chapter 2', '""While Mary is adjusting her ideas,"" [N] ""let us return to Mr       Bingley.""')",55,2,,c_3,"""While Mary is adjusting her ideas,"" [N] ""let us return to Mr       Bingley.""",Chapter 2,part,train,"While Mary is adjusting her ideas, [N] let us return to Mr       Bingley."
44,56,"(56, '1', '', 'c_3', 'Chapter 2', '""I am sick of Mr Bingley,"" [N]')",56,1,,c_3,"""I am sick of Mr Bingley,"" [N]",Chapter 2,response,train,"I am sick of Mr Bingley, [N]"
45,57,"(57, '2', '', 'c_3', 'Chapter 2', '""I am sorry to hear that; but why did not you tell me that before?       If I had known as much this morning I certainly would not have called on       him. It is very unlucky; but as I have actually paid the visit, we cannot       escape the acquaintance now.""')",57,2,,c_3,"""I am sorry to hear that; but why did not you tell me that before?       If I had known as much this morning I certainly would not have called on       him. It is very unlucky; but as I have actually paid the visit, we cannot       escape the acquaintance now.""",Chapter 2,response,train,"I am sorry to hear that; but why did not you tell me that before?       If I had known as much this morning I certainly would not have called on       him. It is very unlucky; but as I have actually paid the visit, we cannot       escape the acquaintance now."
46,59,"(59, '1', 'mother', 'c_4', 'Chapter 2', '""How good it was in you, my dear Mr Bennet! But I knew I should persuade       you at last. I was sure you loved your girls too well to neglect such an       acquaintance. Well, how pleased I am! and it is such a good joke, too,       that you should have gone this morning and never said a word about it till       now.""')",59,1,mother,c_4,"""How good it was in you, my dear Mr Bennet! But I knew I should persuade       you at last. I was sure you loved your girls too well to neglect such an       acquaintance. Well, how pleased I am! and it is such a good joke, too,       that you should have gone this morning and never said a word about it till       now.""",Chapter 2,not,train,"How good it was in you, my dear Mr Bennet! But I knew I should persuade       you at last. I was sure you loved your girls too well to neglect such an       acquaintance. Well, how pleased I am! and it is such a good joke, too,       that you should have gone this morning and never said a word about it till       now."
47,60,"(60, '2', 'father', 'c_4', 'Chapter 2', '""Now, Kitty, you may cough as much as you choose,"" [N]')",60,2,father,c_4,"""Now, Kitty, you may cough as much as you choose,"" [N]",Chapter 2,response,train,"Now, Kitty, you may cough as much as you choose, [N]"
48,61,"(61, '1', 'mother', 'c_5', 'Chapter 2', '""What an excellent father you have, girls!"" [N] ""I do not know how you will ever make him amends for his kindness;       or me, either, for that matter. At our time of life it is not so pleasant,       I can tell you, to be making new acquaintances every day; but for your       sakes, we would do anything. Lydia, my love, though you are the       youngest, I dare say Mr Bingley will dance with you at the next ball.""')",61,1,mother,c_5,"""What an excellent father you have, girls!"" [N] ""I do not know how you will ever make him amends for his kindness;       or me, either, for that matter. At our time of life it is not so pleasant,       I can tell you, to be making new acquaintances every day; but for your       sakes, we would do anything. Lydia, my love, though you are the       youngest, I dare say Mr Bingley will dance with you at the next ball.""",Chapter 2,not,train,"What an excellent father you have, girls! [N] I do not know how you will ever make him amends for his kindness;       or me, either, for that matter. At our time of life it is not so pleasant,       I can tell you, to be making new acquaintances every day; but for your       sakes, we would do anything. Lydia, my love, though you are the       youngest, I dare say Mr Bingley will dance with you at the next ball."
49,62,"(62, '2', 'lydia', 'c_5', 'Chapter 2', '""Oh!"" [N] ""I am not afraid; for though I am the       youngest, I\'m the tallest.""')",62,2,lydia,c_5,"""Oh!"" [N] ""I am not afraid; for though I am the       youngest, I'm the tallest.""",Chapter 2,response,train,"Oh! [N] I am not afraid; for though I am the       youngest, I'm the tallest."
50,66,"(66, '1', 'mother', 'c_6', 'Chapter 3', '""If I can but see one of my daughters happily settled at Netherfield,"" [N] ""and all the others equally well married,       I shall have nothing to wish for.""')",66,1,mother,c_6,"""If I can but see one of my daughters happily settled at Netherfield,"" [N] ""and all the others equally well married,       I shall have nothing to wish for.""",Chapter 3,not,train,"If I can but see one of my daughters happily settled at Netherfield, [N] and all the others equally well married,       I shall have nothing to wish for."
51,72,"(72, '1', 'charles bingley', 'c_7', 'Chapter 3', '""Come, Darcy,"" [N] ""I must have you dance. I hate to see you standing       about by yourself in this stupid manner. You had much better dance.""')",72,1,charles bingley,c_7,"""Come, Darcy,"" [N] ""I must have you dance. I hate to see you standing       about by yourself in this stupid manner. You had much better dance.""",Chapter 3,not,train,"Come, Darcy, [N] I must have you dance. I hate to see you standing       about by yourself in this stupid manner. You had much better dance."
52,73,"(73, '2', 'mr darcy', 'c_7', 'Chapter 3', '""I certainly shall not. You know how I detest it, unless I am particularly       acquainted with my partner. At such an assembly as this it would be       insupportable. Your sisters are engaged, and there is not another woman in       the room whom it would not be a punishment to me to stand up with.""')",73,2,mr darcy,c_7,"""I certainly shall not. You know how I detest it, unless I am particularly       acquainted with my partner. At such an assembly as this it would be       insupportable. Your sisters are engaged, and there is not another woman in       the room whom it would not be a punishment to me to stand up with.""",Chapter 3,response,train,"I certainly shall not. You know how I detest it, unless I am particularly       acquainted with my partner. At such an assembly as this it would be       insupportable. Your sisters are engaged, and there is not another woman in       the room whom it would not be a punishment to me to stand up with."
53,74,"(74, '1', '', 'c_7', 'Chapter 3', '""I would not be so fastidious as you are,"" [N] ""for a       kingdom! Upon my honour, I never met with so many pleasant girls in my       life as I have this evening; and there are several of them you see       uncommonly pretty.""')",74,1,,c_7,"""I would not be so fastidious as you are,"" [N] ""for a       kingdom! Upon my honour, I never met with so many pleasant girls in my       life as I have this evening; and there are several of them you see       uncommonly pretty.""",Chapter 3,response,train,"I would not be so fastidious as you are, [N] for a       kingdom! Upon my honour, I never met with so many pleasant girls in my       life as I have this evening; and there are several of them you see       uncommonly pretty."
54,75,"(75, '2', 'Darcy', 'c_7', 'Chapter 3', '""You are dancing with the only handsome girl in the room,"" [N]')",75,2,Darcy,c_7,"""You are dancing with the only handsome girl in the room,"" [N]",Chapter 3,response,train,"You are dancing with the only handsome girl in the room, [N]"
55,76,"(76, '1', '', 'c_7', 'Chapter 3', '""Oh! She is the most beautiful creature I ever beheld! But there is one of       her sisters sitting down just behind you, who is very pretty, and I dare       say very agreeable. Do let me ask my partner to introduce you.""')",76,1,,c_7,"""Oh! She is the most beautiful creature I ever beheld! But there is one of       her sisters sitting down just behind you, who is very pretty, and I dare       say very agreeable. Do let me ask my partner to introduce you.""",Chapter 3,response,train,"Oh! She is the most beautiful creature I ever beheld! But there is one of       her sisters sitting down just behind you, who is very pretty, and I dare       say very agreeable. Do let me ask my partner to introduce you."
56,77,"(77, '2', '', 'c_7', 'Chapter 3', '""Which do you mean?"" [N] ""She is tolerable, but not handsome enough to tempt me; I am in no       humour at present to give consequence to young ladies who are slighted by       other men. You had better return to your partner and enjoy her smiles, for       you are wasting your time with me.""')",77,2,,c_7,"""Which do you mean?"" [N] ""She is tolerable, but not handsome enough to tempt me; I am in no       humour at present to give consequence to young ladies who are slighted by       other men. You had better return to your partner and enjoy her smiles, for       you are wasting your time with me.""",Chapter 3,response,train,"Which do you mean? [N] She is tolerable, but not handsome enough to tempt me; I am in no       humour at present to give consequence to young ladies who are slighted by       other men. You had better return to your partner and enjoy her smiles, for       you are wasting your time with me."
57,80,"(80, '1', 'mother', 'c_8', 'Chapter 3', '""Oh! my dear Mr Bennet,"" [N] ""we have had a most       delightful evening, a most excellent ball. I wish you had been there. Jane       was so admired, nothing could be like it. Everybody said how well she       looked; and Mr Bingley thought her quite beautiful, and danced with her       twice! Only think of that, my dear; he actually danced with her       twice! and she was the only creature in the room that he asked a second       time. First of all, he asked MissLucas. I was so vexed to see him stand       up with her! But, however, he did not admire her at all; indeed, nobody       can, you know; and he seemed quite struck with Jane as she was going down       the dance. So he inquired who she was, and got introduced, and asked her       for the two next. Then the two third he danced with MissKing, and the two       fourth with Maria Lucas, and the two fifth with Jane again, and the two       sixth with Lizzy, and the Boulanger—""')",80,1,mother,c_8,"""Oh! my dear Mr Bennet,"" [N] ""we have had a most       delightful evening, a most excellent ball. I wish you had been there. Jane       was so admired, nothing could be like it. Everybody said how well she       looked; and Mr Bingley thought her quite beautiful, and danced with her       twice! Only think of that, my dear; he actually danced with her       twice! and she was the only creature in the room that he asked a second       time. First of all, he asked MissLucas. I was so vexed to see him stand       up with her! But, however, he did not admire her at all; indeed, nobody       can, you know; and he seemed quite struck with Jane as she was going down       the dance. So he inquired who she was, and got introduced, and asked her       for the two next. Then the two third he danced with MissKing, and the two       fourth with Maria Lucas, and the two fifth with Jane again, and the two       sixth with Lizzy, and the Boulanger—""",Chapter 3,not,train,"Oh! my dear Mr Bennet, [N] we have had a most       delightful evening, a most excellent ball. I wish you had been there. Jane       was so admired, nothing could be like it. Everybody said how well she       looked; and Mr Bingley thought her quite beautiful, and danced with her       twice! Only think of that, my dear; he actually danced with her       twice! and she was the only creature in the room that he asked a second       time. First of all, he asked MissLucas. I was so vexed to see him stand       up with her! But, however, he did not admire her at all; indeed, nobody       can, you know; and he seemed quite struck with Jane as she was going down       the dance. So he inquired who she was, and got introduced, and asked her       for the two next. Then the two third he danced with MissKing, and the two       fourth with Maria Lucas, and the two fifth with Jane again, and the two       sixth with Lizzy, and the Boulanger—"
58,81,"(81, '2', 'father', 'c_8', 'Chapter 3', '""If he had had any compassion for me,"" [N] ""he would not have danced half so much! For God\'s sake, say       no more of his partners. Oh that he had sprained his ankle in the first       dance!""')",81,2,father,c_8,"""If he had had any compassion for me,"" [N] ""he would not have danced half so much! For God's sake, say       no more of his partners. Oh that he had sprained his ankle in the first       dance!""",Chapter 3,response,train,"If he had had any compassion for me, [N] he would not have danced half so much! For God's sake, say       no more of his partners. Oh that he had sprained his ankle in the first       dance!"
59,82,"(82, '1', '', 'c_8', 'Chapter 3', '""Oh! my dear, I am quite delighted with him. He is so excessively       handsome! And his sisters are charming women. I never in my life saw       anything more elegant than their dresses. I dare say the lace upon Mrs       Hurst\'s gown—""')",82,1,,c_8,"""Oh! my dear, I am quite delighted with him. He is so excessively       handsome! And his sisters are charming women. I never in my life saw       anything more elegant than their dresses. I dare say the lace upon Mrs       Hurst's gown—""",Chapter 3,response,train,"Oh! my dear, I am quite delighted with him. He is so excessively       handsome! And his sisters are charming women. I never in my life saw       anything more elegant than their dresses. I dare say the lace upon Mrs       Hurst's gown—"
60,84,"(84, '1', '', 'c_8', 'Chapter 3', '""But I can assure you,"" [N] ""that Lizzy does not lose much by not       suiting his fancy; for he is a most disagreeable, horrid man, not       at all worth pleasing. So high and so conceited that there was no enduring       him! He walked here, and he walked there, fancying himslf so very great!       Not handsome enough to dance with! I wish you had been there, my dear, to       have given him one of your set-downs. I quite detest the man.""')",84,1,,c_8,"""But I can assure you,"" [N] ""that Lizzy does not lose much by not       suiting his fancy; for he is a most disagreeable, horrid man, not       at all worth pleasing. So high and so conceited that there was no enduring       him! He walked here, and he walked there, fancying himslf so very great!       Not handsome enough to dance with! I wish you had been there, my dear, to       have given him one of your set-downs. I quite detest the man.""",Chapter 3,part,train,"But I can assure you, [N] that Lizzy does not lose much by not       suiting his fancy; for he is a most disagreeable, horrid man, not       at all worth pleasing. So high and so conceited that there was no enduring       him! He walked here, and he walked there, fancying himslf so very great!       Not handsome enough to dance with! I wish you had been there, my dear, to       have given him one of your set-downs. I quite detest the man."
61,87,"(87, '1', 'jane', 'c_9', 'Chapter 4', '""He is just what a young man ought to be,"" [N] ""sensible,       good-humoured, lively; and I never saw such happy manners!—so much       ease, with such perfect good breeding!""')",87,1,jane,c_9,"""He is just what a young man ought to be,"" [N] ""sensible,       good-humoured, lively; and I never saw such happy manners!—so much       ease, with such perfect good breeding!""",Chapter 4,not,train,"He is just what a young man ought to be, [N] sensible,       good-humoured, lively; and I never saw such happy manners!—so much       ease, with such perfect good breeding!"
