,para_index,tag,para,num_quotes_up_to_para,num_utterances,raw_utter_list,tokenized_sent,tokenized_sent_clean
81,81,utterance,"""Design! Nonsense, how can you talk so! But it is very likely that he may       fall in love with one of them, and therefore you must visit him as soon as       he comes.""",32,1,"['""Design! Nonsense, how can you talk so! But it is very likely that he may       fall in love with one of them, and therefore you must visit him as soon as       he comes.""']","""Design! Nonsense, how can you talk so! But it is very likely that he may       fall in love with one of them, and therefore you must visit him as soon as       he comes.""","Design! Nonsense, how can you talk so! But it is very likely that he may       fall in love with one of them, and therefore you must visit him as soon as       he comes."
82,82,utterance,"""I see no occasion for that. You and the girls may go, or you may send       them by themselves, which perhaps will be still better, for as you are as       handsome as any of them, Mr. Bingley may like you the best of the party.""",34,1,"['""I see no occasion for that. You and the girls may go, or you may send       them by themselves, which perhaps will be still better, for as you are as       handsome as any of them, Mr. Bingley may like you the best of the party.""']","""I see no occasion for that. You and the girls may go, or you may send       them by themslves, which perhaps will be still better, for as you are as       handsome as any of them, Mr Bingley may like you the best of the party.""","I see no occasion for that. You and the girls may go, or you may send       them by themslves, which perhaps will be still better, for as you are as       handsome as any of them, Mr Bingley may like you the best of the party."
83,83,utterance,"""My dear, you flatter me. I certainly have had my share of beauty,       but I do not pretend to be anything extraordinary now. When a woman has       five grown-up daughters, she ought to give over thinking of her own       beauty.""",36,1,"['""My dear, you flatter me. I certainly have had my share of beauty,       but I do not pretend to be anything extraordinary now. When a woman has       five grown-up daughters, she ought to give over thinking of her own       beauty.""']","""My dear, you flatter me. I certainly have had my share of beauty,       but I do not pretend to be anything extraordinary now. When a woman has       five grown-up daughters, she ought to give over thinking of her own       beauty.""","My dear, you flatter me. I certainly have had my share of beauty,       but I do not pretend to be anything extraordinary now. When a woman has       five grown-up daughters, she ought to give over thinking of her own       beauty."
84,84,utterance,"""In such cases, a woman has not often much beauty to think of.""",38,1,"['""In such cases, a woman has not often much beauty to think of.""']","""In such cases, a woman has not often much beauty to think of.""","In such cases, a woman has not often much beauty to think of."
85,85,utterance,"""But, my dear, you must indeed go and see Mr. Bingley when he comes into       the neighbourhood.""",40,1,"['""But, my dear, you must indeed go and see Mr. Bingley when he comes into       the neighbourhood.""']","""But, my dear, you must indeed go and see Mr Bingley when he comes into       the neighbourhood.""","But, my dear, you must indeed go and see Mr Bingley when he comes into       the neighbourhood."
86,86,utterance,"""It is more than I engage for, I assure you.""",42,1,"['""It is more than I engage for, I assure you.""']","""It is more than I engage for, I assure you.""","It is more than I engage for, I assure you."
87,87,utterance,"""But consider your daughters. Only think what an establishment it would be       for one of them. Sir William and Lady Lucas are determined to go, merely       on that account, for in general, you know, they visit no newcomers. Indeed       you must go, for it will be impossible for us to visit him if you       do not.""",44,1,"['""But consider your daughters. Only think what an establishment it would be       for one of them. Sir William and Lady Lucas are determined to go, merely       on that account, for in general, you know, they visit no newcomers. Indeed       you must go, for it will be impossible for us to visit him if you       do not.""']","""But consider your daughters. Only think what an establishment it would be       for one of them. Sir William and Lady Lucas are determined to go, merely       on that account, for in general, you know, they visit no newcomers. Indeed       you must go, for it will be impossible for us to visit him if you       do not.""","But consider your daughters. Only think what an establishment it would be       for one of them. Sir William and Lady Lucas are determined to go, merely       on that account, for in general, you know, they visit no newcomers. Indeed       you must go, for it will be impossible for us to visit him if you       do not."
88,88,utterance,"""You are over-scrupulous, surely. I dare say Mr. Bingley will be very glad       to see you; and I will send a few lines by you to assure him of my hearty       consent to his marrying whichever he chooses of the girls; though I must       throw in a good word for my little Lizzy.""",46,1,"['""You are over-scrupulous, surely. I dare say Mr. Bingley will be very glad       to see you; and I will send a few lines by you to assure him of my hearty       consent to his marrying whichever he chooses of the girls; though I must       throw in a good word for my little Lizzy.""']","""You are over-scrupulous, surely. I dare say Mr Bingley will be very glad       to see you; and I will send a few lines by you to assure him of my hearty       consent to his marrying whichever he chooses of the girls; though I must       throw in a good word for my little Lizzy.""","You are over-scrupulous, surely. I dare say Mr Bingley will be very glad       to see you; and I will send a few lines by you to assure him of my hearty       consent to his marrying whichever he chooses of the girls; though I must       throw in a good word for my little Lizzy."
89,89,utterance,"""I desire you will do no such thing. Lizzy is not a bit better than the       others; and I am sure she is not half so handsome as Jane, nor half so       good-humoured as Lydia. But you are always giving her the       preference.""",48,1,"['""I desire you will do no such thing. Lizzy is not a bit better than the       others; and I am sure she is not half so handsome as Jane, nor half so       good-humoured as Lydia. But you are always giving her the       preference.""']","""I desire you will do no such thing. Lizzy is not a bit better than the       others; and I am sure she is not half so handsome as Jane, nor half so       good-humoured as Lydia. But you are always giving her the       preference.""","I desire you will do no such thing. Lizzy is not a bit better than the       others; and I am sure she is not half so handsome as Jane, nor half so       good-humoured as Lydia. But you are always giving her the       preference."
90,90,utterance,"""They have none of them much to recommend them,"" replied he; ""they are all       silly and ignorant like other girls; but Lizzy has something more of       quickness than her sisters.""",52,2,"['""They have none of them much to recommend them,""', '""they are all       silly and ignorant like other girls; but Lizzy has something more of       quickness than her sisters.""']","""They have none of them much to recommend them,"" [N] ""they are all       silly and ignorant like other girls; but Lizzy has something more of       quickness than her sisters.""","They have none of them much to recommend them, [N] they are all       silly and ignorant like other girls; but Lizzy has something more of       quickness than her sisters."
91,91,utterance,"""Mr. Bennet, how can you abuse your own children in such a way? You       take delight in vexing me. You have no compassion for my poor nerves.""",54,1,"['""Mr. Bennet, how can you abuse your own children in such a way? You       take delight in vexing me. You have no compassion for my poor nerves.""']","""Mr Bennet, how can you abuse your own children in such a way? You       take delight in vexing me. You have no compassion for my poor nerves.""","Mr Bennet, how can you abuse your own children in such a way? You       take delight in vexing me. You have no compassion for my poor nerves."
92,92,utterance,"""You mistake me, my dear. I have a high respect for your nerves. They are       my old friends. I have heard you mention them with consideration these       last twenty years at least.""",56,1,"['""You mistake me, my dear. I have a high respect for your nerves. They are       my old friends. I have heard you mention them with consideration these       last twenty years at least.""']","""You mistake me, my dear. I have a high respect for your nerves. They are       my old friends. I have heard you mention them with consideration these       last twenty years at least.""","You mistake me, my dear. I have a high respect for your nerves. They are       my old friends. I have heard you mention them with consideration these       last twenty years at least."
93,93,utterance,"""Ah, you do not know what I suffer.""",58,1,"['""Ah, you do not know what I suffer.""']","""Ah, you do not know what I suffer.""","Ah, you do not know what I suffer."
94,94,utterance,"""But I hope you will get over it, and live to see many young men of four       thousand a year come into the neighbourhood.""",60,1,"['""But I hope you will get over it, and live to see many young men of four       thousand a year come into the neighbourhood.""']","""But I hope you will get over it, and live to see many young men of four       thousand a year come into the neighbourhood.""","But I hope you will get over it, and live to see many young men of four       thousand a year come into the neighbourhood."
95,95,utterance,"""It will be no use to us, if twenty such should come, since you will not       visit them.""",62,1,"['""It will be no use to us, if twenty such should come, since you will not       visit them.""']","""It will be no use to us, if twenty such should come, since you will not       visit them.""","It will be no use to us, if twenty such should come, since you will not       visit them."
96,96,utterance,"""Depend upon it, my dear, that when there are twenty, I will visit them       all.""",64,1,"['""Depend upon it, my dear, that when there are twenty, I will visit them       all.""']","""Depend upon it, my dear, that when there are twenty, I will visit them       all.""","Depend upon it, my dear, that when there are twenty, I will visit them       all."
97,97,narrative,"Mr. Bennet was so odd a mixture of quick parts, sarcastic humour, reserve,       and caprice, that the experience of three-and-twenty years had been       insufficient to make his wife understand his character. Her mind       was less difficult to develop. She was a woman of mean understanding,       little information, and uncertain temper. When she was discontented, she       fancied herself nervous. The business of her life was to get her daughters       married; its solace was visiting and news.",64,0,[],[N],[N]
98,98,narrative,Chapter 2,64,0,[],[N],[N]
99,99,narrative,"Mr. Bennet was among the earliest of those who waited on Mr. Bingley. He       had always intended to visit him, though to the last always assuring his       wife that he should not go; and till the evening after the visit was paid       she had no knowledge of it. It was then disclosed in the following manner.       Observing his second daughter employed in trimming a hat, he suddenly       addressed her with:",64,0,[],[N],[N]
100,100,utterance,"""I hope Mr. Bingley will like it, Lizzy.""",66,1,"['""I hope Mr. Bingley will like it, Lizzy.""']","""I hope Mr Bingley will like it, Lizzy.""","I hope Mr Bingley will like it, Lizzy."
101,101,utterance,"""We are not in a way to know what Mr. Bingley likes,"" said her       mother resentfully, ""since we are not to visit.""",70,2,"['""We are not in a way to know what Mr. Bingley likes,""', '""since we are not to visit.""']","""We are not in a way to know what Mr Bingley likes,"" [N] ""since we are not to visit.""","We are not in a way to know what Mr Bingley likes, [N] since we are not to visit."
102,102,utterance,"""But you forget, mamma,"" said Elizabeth, ""that we shall meet him at the       assemblies, and that Mrs. Long promised to introduce him.""",74,2,"['""But you forget, mamma,""', '""that we shall meet him at the       assemblies, and that Mrs. Long promised to introduce him.""']","""But you forget, mamma,"" [N] ""that we shall meet him at the       assemblies, and that Mrs Long promised to introduce him.""","But you forget, mamma, [N] that we shall meet him at the       assemblies, and that Mrs Long promised to introduce him."
103,103,utterance,"""I do not believe Mrs. Long will do any such thing. She has two nieces of       her own. She is a selfish, hypocritical woman, and I have no opinion of       her.""",76,1,"['""I do not believe Mrs. Long will do any such thing. She has two nieces of       her own. She is a selfish, hypocritical woman, and I have no opinion of       her.""']","""I do not believe Mrs Long will do any such thing. She has two nieces of       her own. She is a selfish, hypocritical woman, and I have no opinion of       her.""","I do not believe Mrs Long will do any such thing. She has two nieces of       her own. She is a selfish, hypocritical woman, and I have no opinion of       her."
104,104,utterance,"""No more have I,"" said Mr. Bennet; ""and I am glad to find that you do not       depend on her serving you.""",80,2,"['""No more have I,""', '""and I am glad to find that you do not       depend on her serving you.""']","""No more have I,"" [N] ""and I am glad to find that you do not       depend on her serving you.""","No more have I, [N] and I am glad to find that you do not       depend on her serving you."
105,105,narrative,"Mrs. Bennet deigned not to make any reply, but, unable to contain herself,       began scolding one of her daughters.",80,0,[],[N],[N]
106,106,utterance,"""Don't keep coughing so, Kitty, for Heaven's sake! Have a little       compassion on my nerves. You tear them to pieces.""",82,1,"['""Don\'t keep coughing so, Kitty, for Heaven\'s sake! Have a little       compassion on my nerves. You tear them to pieces.""']","""Don't keep coughing so, Kitty, for Heaven's sake! Have a little       compassion on my nerves. You tear them to pieces.""","Don't keep coughing so, Kitty, for Heaven's sake! Have a little       compassion on my nerves. You tear them to pieces."
107,107,utterance,"""Kitty has no discretion in her coughs,"" said her father; ""she times them       ill.""",86,2,"['""Kitty has no discretion in her coughs,""', '""she times them       ill.""']","""Kitty has no discretion in her coughs,"" [N] ""she times them       ill.""","Kitty has no discretion in her coughs, [N] she times them       ill."
108,108,utterance,"""I do not cough for my own amusement,"" replied Kitty fretfully. ""When is       your next ball to be, Lizzy?""",90,2,"['""I do not cough for my own amusement,""', '""When is       your next ball to be, Lizzy?""']","""I do not cough for my own amusement,"" [N] ""When is       your next ball to be, Lizzy?""","I do not cough for my own amusement, [N] When is       your next ball to be, Lizzy?"
109,109,utterance,"""To-morrow fortnight.""",92,1,"['""To-morrow fortnight.""']","""To-morrow fortnight.""",To-morrow fortnight.
110,110,utterance,"""Aye, so it is,"" cried her mother, ""and Mrs. Long does not come back till       the day before; so it will be impossible for her to introduce him, for she       will not know him herself.""",96,2,"['""Aye, so it is,""', '""and Mrs. Long does not come back till       the day before; so it will be impossible for her to introduce him, for she       will not know him herself.""']","""Aye, so it is,"" [N] ""and Mrs Long does not come back till       the day before; so it will be impossible for her to introduce him, for she       will not know him herself.""","Aye, so it is, [N] and Mrs Long does not come back till       the day before; so it will be impossible for her to introduce him, for she       will not know him herself."
111,111,utterance,"""Then, my dear, you may have the advantage of your friend, and introduce       Mr. Bingley to her.""",98,1,"['""Then, my dear, you may have the advantage of your friend, and introduce       Mr. Bingley to her.""']","""Then, my dear, you may have the advantage of your friend, and introduce       Mr Bingley to her.""","Then, my dear, you may have the advantage of your friend, and introduce       Mr Bingley to her."
112,112,utterance,"""Impossible, Mr. Bennet, impossible, when I am not acquainted with him       myself; how can you be so teasing?""",100,1,"['""Impossible, Mr. Bennet, impossible, when I am not acquainted with him       myself; how can you be so teasing?""']","""Impossible, Mr Bennet, impossible, when I am not acquainted with him       myself; how can you be so teasing?""","Impossible, Mr Bennet, impossible, when I am not acquainted with him       myself; how can you be so teasing?"
113,113,utterance,"""I honour your circumspection. A fortnight's acquaintance is certainly       very little. One cannot know what a man really is by the end of a       fortnight. But if we do not venture somebody else will; and after       all, Mrs. Long and her nieces must stand their chance; and, therefore,       as she will think it an act of kindness, if you decline the office, I will       take it on myself.""",102,1,"['""I honour your circumspection. A fortnight\'s acquaintance is certainly       very little. One cannot know what a man really is by the end of a       fortnight. But if we do not venture somebody else will; and after       all, Mrs. Long and her nieces must stand their chance; and, therefore,       as she will think it an act of kindness, if you decline the office, I will       take it on myself.""']","""I honour your circumsection. A fortnight's acquaintance is certainly       very little. One cannot know what a man really is by the end of a       fortnight. But if we do not venture somebody else will; and after       all, Mrs Long and her nieces must stand their chance; and, therefore,       as she will think it an act of kindness, if you decline the office, I will       take it on myself.""","I honour your circumsection. A fortnight's acquaintance is certainly       very little. One cannot know what a man really is by the end of a       fortnight. But if we do not venture somebody else will; and after       all, Mrs Long and her nieces must stand their chance; and, therefore,       as she will think it an act of kindness, if you decline the office, I will       take it on myself."
114,114,utterance,"The girls stared at their father. Mrs. Bennet said only, ""Nonsense,       nonsense!""",104,1,"['""Nonsense,       nonsense!""']","[N] ""Nonsense,       nonsense!""","[N] Nonsense,       nonsense!"
115,115,utterance,"""What can be the meaning of that emphatic exclamation?"" cried he. ""Do you       consider the forms of introduction, and the stress that is laid on them,       as nonsense? I cannot quite agree with you there. What say you,       Mary? For you are a young lady of deep reflection, I know, and read great       books and make extracts.""",108,2,"['""What can be the meaning of that emphatic exclamation?""', '""Do you       consider the forms of introduction, and the stress that is laid on them,       as nonsense? I cannot quite agree with you there. What say you,       Mary? For you are a young lady of deep reflection, I know, and read great       books and make extracts.""']","""What can be the meaning of that emphatic exclamation?"" [N] ""Do you       consider the formsof introduction, and the stress that is laid on them,       as nonsense? I cannot quite agree with you there. What say you,       Mary? For you are a young lady of deep reflection, I know, and read great       books and make extracts.""","What can be the meaning of that emphatic exclamation? [N] Do you       consider the formsof introduction, and the stress that is laid on them,       as nonsense? I cannot quite agree with you there. What say you,       Mary? For you are a young lady of deep reflection, I know, and read great       books and make extracts."
116,116,narrative,"Mary wished to say something sensible, but knew not how.",108,0,[],[N],[N]
117,117,utterance,"""While Mary is adjusting her ideas,"" he continued, ""let us return to Mr.       Bingley.""",112,2,"['""While Mary is adjusting her ideas,""', '""let us return to Mr.       Bingley.""']","""While Mary is adjusting her ideas,"" [N] ""let us return to Mr       Bingley.""","While Mary is adjusting her ideas, [N] let us return to Mr       Bingley."
118,118,utterance,"""I am sick of Mr. Bingley,"" cried his wife.",114,1,"['""I am sick of Mr. Bingley,""']","""I am sick of Mr Bingley,"" [N]","I am sick of Mr Bingley, [N]"
119,119,utterance,"""I am sorry to hear that; but why did not you tell me that before?       If I had known as much this morning I certainly would not have called on       him. It is very unlucky; but as I have actually paid the visit, we cannot       escape the acquaintance now.""",116,1,"['""I am sorry to hear that; but why did not you tell me that before?       If I had known as much this morning I certainly would not have called on       him. It is very unlucky; but as I have actually paid the visit, we cannot       escape the acquaintance now.""']","""I am sorry to hear that; but why did not you tell me that before?       If I had known as much this morning I certainly would not have called on       him. It is very unlucky; but as I have actually paid the visit, we cannot       escape the acquaintance now.""","I am sorry to hear that; but why did not you tell me that before?       If I had known as much this morning I certainly would not have called on       him. It is very unlucky; but as I have actually paid the visit, we cannot       escape the acquaintance now."
120,120,narrative,"The astonishment of the ladies was just what he wished; that of Mrs.       Bennet perhaps surpassing the rest; though, when the first tumult of joy       was over, she began to declare that it was what she had expected all the       while.",116,0,[],[N],[N]
121,121,utterance,"""How good it was in you, my dear Mr. Bennet! But I knew I should persuade       you at last. I was sure you loved your girls too well to neglect such an       acquaintance. Well, how pleased I am! and it is such a good joke, too,       that you should have gone this morning and never said a word about it till       now.""",118,1,"['""How good it was in you, my dear Mr. Bennet! But I knew I should persuade       you at last. I was sure you loved your girls too well to neglect such an       acquaintance. Well, how pleased I am! and it is such a good joke, too,       that you should have gone this morning and never said a word about it till       now.""']","""How good it was in you, my dear Mr Bennet! But I knew I should persuade       you at last. I was sure you loved your girls too well to neglect such an       acquaintance. Well, how pleased I am! and it is such a good joke, too,       that you should have gone this morning and never said a word about it till       now.""","How good it was in you, my dear Mr Bennet! But I knew I should persuade       you at last. I was sure you loved your girls too well to neglect such an       acquaintance. Well, how pleased I am! and it is such a good joke, too,       that you should have gone this morning and never said a word about it till       now."
122,122,utterance,"""Now, Kitty, you may cough as much as you choose,"" said Mr. Bennet; and,       as he spoke, he left the room, fatigued with the raptures of his wife.",120,1,"['""Now, Kitty, you may cough as much as you choose,""']","""Now, Kitty, you may cough as much as you choose,"" [N]","Now, Kitty, you may cough as much as you choose, [N]"
123,123,utterance,"""What an excellent father you have, girls!"" said she, when the door was       shut. ""I do not know how you will ever make him amends for his kindness;       or me, either, for that matter. At our time of life it is not so pleasant,       I can tell you, to be making new acquaintances every day; but for your       sakes, we would do anything. Lydia, my love, though you are the       youngest, I dare say Mr. Bingley will dance with you at the next ball.""",124,2,"['""What an excellent father you have, girls!""', '""I do not know how you will ever make him amends for his kindness;       or me, either, for that matter. At our time of life it is not so pleasant,       I can tell you, to be making new acquaintances every day; but for your       sakes, we would do anything. Lydia, my love, though you are the       youngest, I dare say Mr. Bingley will dance with you at the next ball.""']","""What an excellent father you have, girls!"" [N] ""I do not know how you will ever make him amends for his kindness;       or me, either, for that matter. At our time of life it is not so pleasant,       I can tell you, to be making new acquaintances every day; but for your       sakes, we would do anything. Lydia, my love, though you are the       youngest, I dare say Mr Bingley will dance with you at the next ball.""","What an excellent father you have, girls! [N] I do not know how you will ever make him amends for his kindness;       or me, either, for that matter. At our time of life it is not so pleasant,       I can tell you, to be making new acquaintances every day; but for your       sakes, we would do anything. Lydia, my love, though you are the       youngest, I dare say Mr Bingley will dance with you at the next ball."
124,124,utterance,"""Oh!"" said Lydia stoutly, ""I am not afraid; for though I am the       youngest, I'm the tallest.""",128,2,"['""Oh!""', '""I am not afraid; for though I am the       youngest, I\'m the tallest.""']","""Oh!"" [N] ""I am not afraid; for though I am the       youngest, I'm the tallest.""","Oh! [N] I am not afraid; for though I am the       youngest, I'm the tallest."
125,125,narrative,"The rest of the evening was spent in conjecturing how soon he would return       Mr. Bennet's visit, and determining when they should ask him to dinner.",128,0,[],[N],[N]
126,126,narrative,Chapter 3,128,0,[],[N],[N]
127,127,narrative,"Not all that Mrs. Bennet, however, with the assistance of her five       daughters, could ask on the subject, was sufficient to draw from her       husband any satisfactory description of Mr. Bingley. They attacked him in       various ways—with barefaced questions, ingenious suppositions, and       distant surmises; but he eluded the skill of them all, and they were at       last obliged to accept the second-hand intelligence of their neighbour,       Lady Lucas. Her report was highly favourable. Sir William had been       delighted with him. He was quite young, wonderfully handsome, extremely       agreeable, and, to crown the whole, he meant to be at the next assembly       with a large party. Nothing could be more delightful! To be fond of       dancing was a certain step towards falling in love; and very lively hopes       of Mr. Bingley's heart were entertained.",128,0,[],[N],[N]
128,128,utterance,"""If I can but see one of my daughters happily settled at Netherfield,""        said Mrs. Bennet to her husband, ""and all the others equally well married,       I shall have nothing to wish for.""",132,2,"['""If I can but see one of my daughters happily settled at Netherfield,""', '""and all the others equally well married,       I shall have nothing to wish for.""']","""If I can but see one of my daughters happily settled at Netherfield,"" [N] ""and all the others equally well married,       I shall have nothing to wish for.""","If I can but see one of my daughters happily settled at Netherfield, [N] and all the others equally well married,       I shall have nothing to wish for."
129,129,narrative,"In a few days Mr. Bingley returned Mr. Bennet's visit, and sat about ten       minutes with him in his library. He had entertained hopes of being       admitted to a sight of the young ladies, of whose beauty he had heard       much; but he saw only the father. The ladies were somewhat more fortunate,       for they had the advantage of ascertaining from an upper window that he       wore a blue coat, and rode a black horse.",132,0,[],[N],[N]
