,utter_1,utter_2,label,chapter_tag
34,"""But you forget, mamma,""","""that we shall meet him at the       assemblies, and that Mrs Long promised to introduce him.""",B-OTHER,Chapter 2
35,"""that we shall meet him at the       assemblies, and that Mrs Long promised to introduce him.""","""I do not believe Mrs Long will do any such thing. She has two nieces of       her own. She is a selfish, hypocritical woman, and I have no opinion of       her.""",I-OTHER,Chapter 2
36,"""I do not believe Mrs Long will do any such thing. She has two nieces of       her own. She is a selfish, hypocritical woman, and I have no opinion of       her.""","""No more have I,""",B-OTHER,Chapter 2
37,"""No more have I,""","""and I am glad to find that you do not       depend on her serving you.""",B-OTHER,Chapter 2
38,"""and I am glad to find that you do not       depend on her serving you.""","""Don't keep coughing so, Kitty, for Heaven's sake! Have a little       compassion on my nerves. You tear them to pieces.""",I-OTHER,Chapter 2
39,"""Don't keep coughing so, Kitty, for Heaven's sake! Have a little       compassion on my nerves. You tear them to pieces.""","""Kitty has no discretion in her coughs,""",B-OTHER,Chapter 2
40,"""Kitty has no discretion in her coughs,""","""she times them       ill.""",B-OTHER,Chapter 2
41,"""she times them       ill.""","""I do not cough for my own amusement,""",I-OTHER,Chapter 2
42,"""I do not cough for my own amusement,""","""When is       your next ball to be, Lizzy?""",B-OTHER,Chapter 2
43,"""When is       your next ball to be, Lizzy?""","""To-morrow fortnight.""",I-OTHER,Chapter 2
44,"""To-morrow fortnight.""","""Aye, so it is,""",B-OTHER,Chapter 2
45,"""Aye, so it is,""","""and Mrs Long does not come back till       the day before; so it will be impossible for her to introduce him, for she       will not know him herself.""",B-OTHER,Chapter 2
46,"""and Mrs Long does not come back till       the day before; so it will be impossible for her to introduce him, for she       will not know him herself.""","""Then, my dear, you may have the advantage of your friend, and introduce       Mr Bingley to her.""",I-OTHER,Chapter 2
47,"""Then, my dear, you may have the advantage of your friend, and introduce       Mr Bingley to her.""","""Impossible, Mr Bennet, impossible, when I am not acquainted with him       myself; how can you be so teasing?""",B-OTHER,Chapter 2
48,"""Impossible, Mr Bennet, impossible, when I am not acquainted with him       myself; how can you be so teasing?""","""I honour your circumsection. A fortnight's acquaintance is certainly       very little. One cannot know what a man really is by the end of a       fortnight. But if we do not venture somebody else will; and after       all, Mrs Long and her nieces must stand their chance; and, therefore,       as she will think it an act of kindness, if you decline the office, I will       take it on myself.""",B-OTHER,Chapter 2
49,"""I honour your circumsection. A fortnight's acquaintance is certainly       very little. One cannot know what a man really is by the end of a       fortnight. But if we do not venture somebody else will; and after       all, Mrs Long and her nieces must stand their chance; and, therefore,       as she will think it an act of kindness, if you decline the office, I will       take it on myself.""","""Nonsense,       nonsense!""",B-OTHER,Chapter 2
50,"""Nonsense,       nonsense!""","""What can be the meaning of that emphatic exclamation?""",I-OTHER,Chapter 2
51,"""What can be the meaning of that emphatic exclamation?""","""Do you       consider the formsof introduction, and the stress that is laid on them,       as nonsense? I cannot quite agree with you there. What say you,       Mary? For you are a young lady of deep reflection, I know, and read great       books and make extracts.""",B-OTHER,Chapter 2
52,"""Do you       consider the formsof introduction, and the stress that is laid on them,       as nonsense? I cannot quite agree with you there. What say you,       Mary? For you are a young lady of deep reflection, I know, and read great       books and make extracts.""","""While Mary is adjusting her ideas,""",I-OTHER,Chapter 2
53,"""While Mary is adjusting her ideas,""","""let us return to Mr       Bingley.""",B-OTHER,Chapter 2
54,"""let us return to Mr       Bingley.""","""I am sick of Mr Bingley,""",I-OTHER,Chapter 2
55,"""I am sick of Mr Bingley,""","""I am sorry to hear that; but why did not you tell me that before?       If I had known as much this morning I certainly would not have called on       him. It is very unlucky; but as I have actually paid the visit, we cannot       escape the acquaintance now.""",B-OTHER,Chapter 2
56,"""I am sorry to hear that; but why did not you tell me that before?       If I had known as much this morning I certainly would not have called on       him. It is very unlucky; but as I have actually paid the visit, we cannot       escape the acquaintance now.""","""How good it was in you, my dear Mr Bennet! But I knew I should persuade       you at last. I was sure you loved your girls too well to neglect such an       acquaintance. Well, how pleased I am! and it is such a good joke, too,       that you should have gone this morning and never said a word about it till       now.""",B-OTHER,Chapter 2
57,"""How good it was in you, my dear Mr Bennet! But I knew I should persuade       you at last. I was sure you loved your girls too well to neglect such an       acquaintance. Well, how pleased I am! and it is such a good joke, too,       that you should have gone this morning and never said a word about it till       now.""","""Now, Kitty, you may cough as much as you choose,""",B-OTHER,Chapter 2
58,"""Now, Kitty, you may cough as much as you choose,""","""What an excellent father you have, girls!""",B-OTHER,Chapter 2
59,"""What an excellent father you have, girls!""","""I do not know how you will ever make him amends for his kindness;       or me, either, for that matter. At our time of life it is not so pleasant,       I can tell you, to be making new acquaintances every day; but for your       sakes, we would do anything. Lydia, my love, though you are the       youngest, I dare say Mr Bingley will dance with you at the next ball.""",B-OTHER,Chapter 2
60,"""I do not know how you will ever make him amends for his kindness;       or me, either, for that matter. At our time of life it is not so pleasant,       I can tell you, to be making new acquaintances every day; but for your       sakes, we would do anything. Lydia, my love, though you are the       youngest, I dare say Mr Bingley will dance with you at the next ball.""","""Oh!""",I-OTHER,Chapter 2
61,"""Oh!""","""I am not afraid; for though I am the       youngest, I'm the tallest.""",B-OTHER,Chapter 2
62,"""If I can but see one of my daughters happily settled at Netherfield,""","""and all the others equally well married,       I shall have nothing to wish for.""",B-START,Chapter 3
63,"""Come, Darcy,""","""I must have you dance. I hate to see you standing       about by yourself in this stupid manner. You had much better dance.""",B-START,Chapter 3
64,"""I must have you dance. I hate to see you standing       about by yourself in this stupid manner. You had much better dance.""","""I certainly shall not. You know how I detest it, unless I am particularly       acquainted with my partner. At such an assembly as this it would be       insupportable. Your sisters are engaged, and there is not another woman in       the room whom it would not be a punishment to me to stand up with.""",I-START,Chapter 3
65,"""I certainly shall not. You know how I detest it, unless I am particularly       acquainted with my partner. At such an assembly as this it would be       insupportable. Your sisters are engaged, and there is not another woman in       the room whom it would not be a punishment to me to stand up with.""","""I would not be so fastidious as you are,""",B-OTHER,Chapter 3
66,"""I would not be so fastidious as you are,""","""for a       kingdom! Upon my honour, I never met with so many pleasant girls in my       life as I have this evening; and there are several of them you see       uncommonly pretty.""",B-OTHER,Chapter 3
67,"""for a       kingdom! Upon my honour, I never met with so many pleasant girls in my       life as I have this evening; and there are several of them you see       uncommonly pretty.""","""You are dancing with the only handsome girl in the room,""",I-OTHER,Chapter 3
68,"""You are dancing with the only handsome girl in the room,""","""Oh! She is the most beautiful creature I ever beheld! But there is one of       her sisters sitting down just behind you, who is very pretty, and I dare       say very agreeable. Do let me ask my partner to introduce you.""",B-OTHER,Chapter 3
69,"""Oh! She is the most beautiful creature I ever beheld! But there is one of       her sisters sitting down just behind you, who is very pretty, and I dare       say very agreeable. Do let me ask my partner to introduce you.""","""Which do you mean?""",B-OTHER,Chapter 3
70,"""Which do you mean?""","""She is tolerable, but not handsome enough to tempt me; I am in no       humour at present to give consequence to young ladies who are slighted by       other men. You had better return to your partner and enjoy her smiles, for       you are wasting your time with me.""",B-OTHER,Chapter 3
71,"""She is tolerable, but not handsome enough to tempt me; I am in no       humour at present to give consequence to young ladies who are slighted by       other men. You had better return to your partner and enjoy her smiles, for       you are wasting your time with me.""","""Oh! my dear Mr Bennet,""",I-OTHER,Chapter 3
72,"""Oh! my dear Mr Bennet,""","""we have had a most       delightful evening, a most excellent ball. I wish you had been there. Jane       was so admired, nothing could be like it. Everybody said how well she       looked; and Mr Bingley thought her quite beautiful, and danced with her       twice! Only think of that, my dear; he actually danced with her       twice! and she was the only creature in the room that he asked a second       time. First of all, he asked MissLucas. I was so vexed to see him stand       up with her! But, however, he did not admire her at all; indeed, nobody       can, you know; and he seemed quite struck with Jane as she was going down       the dance. So he inquired who she was, and got introduced, and asked her       for the two next. Then the two third he danced with MissKing, and the two       fourth with Maria Lucas, and the two fifth with Jane again, and the two       sixth with Lizzy, and the Boulanger—""",B-OTHER,Chapter 3
73,"""we have had a most       delightful evening, a most excellent ball. I wish you had been there. Jane       was so admired, nothing could be like it. Everybody said how well she       looked; and Mr Bingley thought her quite beautiful, and danced with her       twice! Only think of that, my dear; he actually danced with her       twice! and she was the only creature in the room that he asked a second       time. First of all, he asked MissLucas. I was so vexed to see him stand       up with her! But, however, he did not admire her at all; indeed, nobody       can, you know; and he seemed quite struck with Jane as she was going down       the dance. So he inquired who she was, and got introduced, and asked her       for the two next. Then the two third he danced with MissKing, and the two       fourth with Maria Lucas, and the two fifth with Jane again, and the two       sixth with Lizzy, and the Boulanger—""","""If he had had any compassion for me,""",I-OTHER,Chapter 3
74,"""If he had had any compassion for me,""","""he would not have danced half so much! For God's sake, say       no more of his partners. Oh that he had sprained his ankle in the first       dance!""",B-OTHER,Chapter 3
75,"""he would not have danced half so much! For God's sake, say       no more of his partners. Oh that he had sprained his ankle in the first       dance!""","""Oh! my dear, I am quite delighted with him. He is so excessively       handsome! And his sisters are charming women. I never in my life saw       anything more elegant than their dresses. I dare say the lace upon Mrs       Hurst's gown—""",I-OTHER,Chapter 3
76,"""Oh! my dear, I am quite delighted with him. He is so excessively       handsome! And his sisters are charming women. I never in my life saw       anything more elegant than their dresses. I dare say the lace upon Mrs       Hurst's gown—""","""But I can assure you,""",B-OTHER,Chapter 3
77,"""But I can assure you,""","""that Lizzy does not lose much by not       suiting his fancy; for he is a most disagreeable, horrid man, not       at all worth pleasing. So high and so conceited that there was no enduring       him! He walked here, and he walked there, fancying himslf so very great!       Not handsome enough to dance with! I wish you had been there, my dear, to       have given him one of your set-downs. I quite detest the man.""",B-OTHER,Chapter 3
78,"""He is just what a young man ought to be,""","""sensible,       good-humoured, lively; and I never saw such happy manners!—so much       ease, with such perfect good breeding!""",B-START,Chapter 4
79,"""sensible,       good-humoured, lively; and I never saw such happy manners!—so much       ease, with such perfect good breeding!""","""He is also handsome,""",I-START,Chapter 4
80,"""He is also handsome,""","""which a young man ought       likewise to be, if he possibly can. His character is thereby complete.""",B-OTHER,Chapter 4
81,"""which a young man ought       likewise to be, if he possibly can. His character is thereby complete.""","""I was very much flattered by his asking me to dance a second time. I did       not expect such a compliment.""",I-OTHER,Chapter 4
82,"""I was very much flattered by his asking me to dance a second time. I did       not expect such a compliment.""","""Did not you? I did for you. But that is one great difference between us.       Compliments always take you by surprise, and me never. What       could be more natural than his asking you again? He could not help seeing       that you were about five times as pretty as every other woman in the room.       No thanks to his gallantry for that. Well, he certainly is very agreeable,       and I give you leave to like him. You have liked many a stupider person.""",B-OTHER,Chapter 4
83,"""Did not you? I did for you. But that is one great difference between us.       Compliments always take you by surprise, and me never. What       could be more natural than his asking you again? He could not help seeing       that you were about five times as pretty as every other woman in the room.       No thanks to his gallantry for that. Well, he certainly is very agreeable,       and I give you leave to like him. You have liked many a stupider person.""","""Dear Lizzy!""",B-OTHER,Chapter 4
84,"""Dear Lizzy!""","""Oh! you are a great deal too apt, you know, to like people in general.       You never see a fault in anybody. All the world are good and agreeable in       your eyes. I never heard you speak ill of a human being in your life.""",B-OTHER,Chapter 4
85,"""Oh! you are a great deal too apt, you know, to like people in general.       You never see a fault in anybody. All the world are good and agreeable in       your eyes. I never heard you speak ill of a human being in your life.""","""I would not wish to be hasty in censuring anyone; but I always speak what       I think.""",B-OTHER,Chapter 4
86,"""I would not wish to be hasty in censuring anyone; but I always speak what       I think.""","""I know you do; and it is that which makes the wonder. With your       good sense, to be so honestly blind to the follies and nonsense of others!       Affectation of candour is common enough—one meets with it       everywhere. But to be candid without ostentation or design—to take       the good of everybody's character and make it still better, and say       nothing of the bad—belongs to you alone. And so you like this man's       sisters, too, do you? Their manners are not equal to his.""",B-OTHER,Chapter 4
87,"""I know you do; and it is that which makes the wonder. With your       good sense, to be so honestly blind to the follies and nonsense of others!       Affectation of candour is common enough—one meets with it       everywhere. But to be candid without ostentation or design—to take       the good of everybody's character and make it still better, and say       nothing of the bad—belongs to you alone. And so you like this man's       sisters, too, do you? Their manners are not equal to his.""","""Certainly not—at first. But they are very pleasing women when you       converse with them. MissBingley is to live with her brother, and keep his       house; and I am much mistaken if we shall not find a very charming       neighbour in her.""",B-OTHER,Chapter 4
88,"""You began the evening well, Charlotte,""","""You were Mr Bingley's first       choice.""",B-START,Chapter 5
89,"""You were Mr Bingley's first       choice.""","""Yes; but he seemed to like his second better.""",I-START,Chapter 5
90,"""Yes; but he seemed to like his second better.""","""Oh! you mean Jane, I suppose, because he danced with her twice. To be       sure that did seem as if he admired her—indeed I rather       believe he did—I heard something about it—but I hardly       know what—something about Mr Robinson.""",B-OTHER,Chapter 5
91,"""Oh! you mean Jane, I suppose, because he danced with her twice. To be       sure that did seem as if he admired her—indeed I rather       believe he did—I heard something about it—but I hardly       know what—something about Mr Robinson.""","""Perhaps you mean what I overheard between him and Mr Robinson; did not I       mention it to you? Mr Robinson's asking him how he liked our Meryton       assemblies, and whether he did not think there were a great many pretty       women in the room, and which he thought the prettiest? and his       answering immediately to the last question: 'Oh! the eldest MissBennet,       beyond a doubt; there cannot be two opinions on that point.'""",B-OTHER,Chapter 5
92,"""Perhaps you mean what I overheard between him and Mr Robinson; did not I       mention it to you? Mr Robinson's asking him how he liked our Meryton       assemblies, and whether he did not think there were a great many pretty       women in the room, and which he thought the prettiest? and his       answering immediately to the last question: 'Oh! the eldest MissBennet,       beyond a doubt; there cannot be two opinions on that point.'""","""Upon my word! Well, that is very decided indeed—that does seem as       if—but, however, it may all come to nothing, you know.""",B-OTHER,Chapter 5
93,"""Upon my word! Well, that is very decided indeed—that does seem as       if—but, however, it may all come to nothing, you know.""","""My overhearings were more to the purpose than yours,       Eliza,""",B-OTHER,Chapter 5
94,"""My overhearings were more to the purpose than yours,       Eliza,""","""Mr Darcy is not so well worth listening to as       his friend, is he?—poor Eliza!—to be only just tolerable.""",B-OTHER,Chapter 5
95,"""Mr Darcy is not so well worth listening to as       his friend, is he?—poor Eliza!—to be only just tolerable.""","""I beg you would not put it into Lizzy's head to be vexed by his       ill-treatment, for he is such a disagreeable man, that it would be quite a       misfortune to be liked by him. Mrs Long told me last night that he sat       close to her for half-an-hour without once opening his lips.""",I-OTHER,Chapter 5
96,"""I beg you would not put it into Lizzy's head to be vexed by his       ill-treatment, for he is such a disagreeable man, that it would be quite a       misfortune to be liked by him. Mrs Long told me last night that he sat       close to her for half-an-hour without once opening his lips.""","""Are you quite sure, ma'am?—is not there a little mistake?""",B-OTHER,Chapter 5
97,"""Are you quite sure, ma'am?—is not there a little mistake?""","""I certainly saw Mr Darcy speaking to her.""",B-OTHER,Chapter 5
98,"""I certainly saw Mr Darcy speaking to her.""","""Aye—because she asked him at last how he liked Netherfield, and he       could not help answering her; but she said he seemed quite angry at being       spoke to.""",I-OTHER,Chapter 5
99,"""Aye—because she asked him at last how he liked Netherfield, and he       could not help answering her; but she said he seemed quite angry at being       spoke to.""","""MissBingley told me,""",B-OTHER,Chapter 5
100,"""MissBingley told me,""","""that he never speaks much, unless       among his intimate acquaintances. With them he is remarkably       agreeable.""",B-OTHER,Chapter 5
101,"""that he never speaks much, unless       among his intimate acquaintances. With them he is remarkably       agreeable.""","""I do not believe a word of it, my dear. If he had been so very agreeable,       he would have talked to Mrs Long. But I can guess how it was; everybody       says that he is eat up with pride, and I dare say he had heard somehow       that Mrs Long does not keep a carriage, and had come to the ball in a       hack chaise.""",I-OTHER,Chapter 5
102,"""I do not believe a word of it, my dear. If he had been so very agreeable,       he would have talked to Mrs Long. But I can guess how it was; everybody       says that he is eat up with pride, and I dare say he had heard somehow       that Mrs Long does not keep a carriage, and had come to the ball in a       hack chaise.""","""I do not mind his not talking to Mrs Long,""",B-OTHER,Chapter 5
103,"""I do not mind his not talking to Mrs Long,""","""but I wish       he had danced with Eliza.""",B-OTHER,Chapter 5
104,"""but I wish       he had danced with Eliza.""","""Another time, Lizzy,""",I-OTHER,Chapter 5
105,"""Another time, Lizzy,""","""I would not dance with him,       if I were you.""",B-OTHER,Chapter 5
106,"""I would not dance with him,       if I were you.""","""I believe, ma'am, I may safely promise you never to dance with       him.""",I-OTHER,Chapter 5
107,"""I believe, ma'am, I may safely promise you never to dance with       him.""","""His pride,""",B-OTHER,Chapter 5
108,"""His pride,""","""does not offend me so much as pride       often does, because there is an excuse for it. One cannot wonder that so       very fine a young man, with family, fortune, everything in his favour,       should think highly of himslf. If I may so express it, he has a right       to be proud.""",B-OTHER,Chapter 5
109,"""does not offend me so much as pride       often does, because there is an excuse for it. One cannot wonder that so       very fine a young man, with family, fortune, everything in his favour,       should think highly of himslf. If I may so express it, he has a right       to be proud.""","""That is very true,""",I-OTHER,Chapter 5
110,"""That is very true,""","""and I could easily forgive his       pride, if he had not mortified mine.""",B-OTHER,Chapter 5
111,"""and I could easily forgive his       pride, if he had not mortified mine.""","""Pride,""",I-OTHER,Chapter 5
112,"""Pride,""","""is a very common failing, I believe. By all that I have ever       read, I am convinced that it is very common indeed; that human nature is       particularly prone to it, and that there are very few of us who do not       cherish a feeling of self-complacency on the score of some quality or       other, real or imaginary. Vanity and pride are different things, though       the words are often used synonymously. A person may be proud without being       vain. Pride relates more to our opinion of ourselves, vanity to what we       would have others think of us.""",B-OTHER,Chapter 5
113,"""is a very common failing, I believe. By all that I have ever       read, I am convinced that it is very common indeed; that human nature is       particularly prone to it, and that there are very few of us who do not       cherish a feeling of self-complacency on the score of some quality or       other, real or imaginary. Vanity and pride are different things, though       the words are often used synonymously. A person may be proud without being       vain. Pride relates more to our opinion of ourselves, vanity to what we       would have others think of us.""","""If I were as rich as Mr Darcy,""",I-OTHER,Chapter 5
114,"""If I were as rich as Mr Darcy,""","""I should not care how proud I was. I would keep a pack of       foxhounds, and drink a bottle of wine a day.""",B-OTHER,Chapter 5
115,"""I should not care how proud I was. I would keep a pack of       foxhounds, and drink a bottle of wine a day.""","""Then you would drink a great deal more than you ought,""",I-OTHER,Chapter 5
116,"""Then you would drink a great deal more than you ought,""","""and if I were to see you at it, I should take away your bottle directly.""",B-OTHER,Chapter 5
117,"""It may perhaps be pleasant,""","""to be able to impose on       the public in such a case; but it is sometimes a disadvantage to be so       very guarded. If a woman conceals her affection with the same skill from       the object of it, she may lose the opportunity of fixing him; and it will       then be but poor consolation to believe the world equally in the dark.       There is so much of gratitude or vanity in almost every attachment, that       it is not safe to leave any to itself. We can all begin freely—a       slight preference is natural enough; but there are very few of us who have       heart enough to be really in love without encouragement. In nine cases out       of ten a women had better show more affection than she feels.       Bingley likes your sister undoubtedly; but he may never do more than like       her, if she does not help him on.""",B-START,Chapter 6
118,"""to be able to impose on       the public in such a case; but it is sometimes a disadvantage to be so       very guarded. If a woman conceals her affection with the same skill from       the object of it, she may lose the opportunity of fixing him; and it will       then be but poor consolation to believe the world equally in the dark.       There is so much of gratitude or vanity in almost every attachment, that       it is not safe to leave any to itself. We can all begin freely—a       slight preference is natural enough; but there are very few of us who have       heart enough to be really in love without encouragement. In nine cases out       of ten a women had better show more affection than she feels.       Bingley likes your sister undoubtedly; but he may never do more than like       her, if she does not help him on.""","""But she does help him on, as much as her nature will allow. If I can       perceive her regard for him, he must be a simpleton, indeed, not to       discover it too.""",I-START,Chapter 6
119,"""But she does help him on, as much as her nature will allow. If I can       perceive her regard for him, he must be a simpleton, indeed, not to       discover it too.""","""Remember, Eliza, that he does not know Jane's disposition as you do.""",B-OTHER,Chapter 6
120,"""Remember, Eliza, that he does not know Jane's disposition as you do.""","""But if a woman is partial to a man, and does not endeavour to conceal it,       he must find it out.""",B-OTHER,Chapter 6
121,"""But if a woman is partial to a man, and does not endeavour to conceal it,       he must find it out.""","""Perhaps he must, if he sees enough of her. But, though Bingley and Jane       meet tolerably often, it is never for many hours together; and, as they       always see each other in large mixed parties, it is impossible that every       moment should be employed in conversing together. Jane should therefore       make the most of every half-hour in which she can command his attention.       When she is secure of him, there will be more leisure for falling in love       as much as she chooses.""",B-OTHER,Chapter 6
122,"""Perhaps he must, if he sees enough of her. But, though Bingley and Jane       meet tolerably often, it is never for many hours together; and, as they       always see each other in large mixed parties, it is impossible that every       moment should be employed in conversing together. Jane should therefore       make the most of every half-hour in which she can command his attention.       When she is secure of him, there will be more leisure for falling in love       as much as she chooses.""","""Your plan is a good one,""",B-OTHER,Chapter 6
123,"""Your plan is a good one,""","""where nothing is in       question but the desire of being well married, and if I were determined to       get a rich husband, or any husband, I dare say I should adopt it. But       these are not Jane's feelings; she is not acting by design. As yet, she       cannot even be certain of the degree of her own regard nor of its       reasonableness. She has known him only a fortnight. She danced four dances       with him at Meryton; she saw him one morning at his own house, and has       since dined with him in company four times. This is not quite enough to       make her understand his character.""",B-OTHER,Chapter 6
124,"""where nothing is in       question but the desire of being well married, and if I were determined to       get a rich husband, or any husband, I dare say I should adopt it. But       these are not Jane's feelings; she is not acting by design. As yet, she       cannot even be certain of the degree of her own regard nor of its       reasonableness. She has known him only a fortnight. She danced four dances       with him at Meryton; she saw him one morning at his own house, and has       since dined with him in company four times. This is not quite enough to       make her understand his character.""","""Not as you represent it. Had she merely dined with him, she might       only have discovered whether he had a good appetite; but you must remember       that four evenings have also been spent together—and four evenings       may do a great deal.""",I-OTHER,Chapter 6
125,"""Not as you represent it. Had she merely dined with him, she might       only have discovered whether he had a good appetite; but you must remember       that four evenings have also been spent together—and four evenings       may do a great deal.""","""Yes; these four evenings have enabled them to ascertain that they both       like Vingt-un better than Commerce; but with respect to any other leading       characteristic, I do not imagine that much has been unfolded.""",B-OTHER,Chapter 6
126,"""Yes; these four evenings have enabled them to ascertain that they both       like Vingt-un better than Commerce; but with respect to any other leading       characteristic, I do not imagine that much has been unfolded.""","""Well,""",B-OTHER,Chapter 6
