,index,utter_1,utter_2
10,661,"""My reasons for marrying are, first, that I think it a right thing for       every clergyman in easy circumsances (like myself) to set the example of       matrimony in his parish; secondly, that I am convinced that it will add       very greatly to my happiness; and thirdly—which perhaps I ought to       have mentioned earlier, that it is the particular advice and       recommendation of the very noble lady whom I have the honour of calling       patroness. Twice has she condescended to give me her opinion (unasked       too!) on this subject; and it was but the very Saturday night before I       left Hunsford—between our pools at quadrille, while Mrs Jenkinson       was arranging Missde Bourgh's footstool, that she said, 'Mr Collins, you       must marry. A clergyman like you must marry. Choose properly, choose a       gentlewoman for my sake; and for your own, let her be an       active, useful sort of person, not brought up high, but able to make a       small income go a good way. This is my advice. Find such a woman as soon       as you can, bring her to Hunsford, and I will visit her.' Allow me, by the       way, to observe, my fair cousin, that I do not reckon the notice and       kindness of Lady Catherine de Bourgh as among the least of the advantages       in my power to offer. You will find her manners beyond anything I can       describe; and your wit and vivacity, I think, must be acceptable to her,       especially when tempered with the silence and respect which her rank will       inevitably excite. Thus much for my general intention in favour of       matrimony; it remains to be told why my views were directed towards       Longbourn instead of my own neighbourhood, where I can assure you there       are many amiable young women. But the fact is, that being, as I am, to       inherit this estate after the death of your honoured father (who, however,       may live many years longer), I could not satisfy myself without resolving       to choose a wife from among his daughters, that the loss to them might be       as little as possible, when the melancholy event takes place—which,       however, as I have already said, may not be for several years. This has       been my motive, my fair cousin, and I flatter myself it will not sink me       in your esteem. And now nothing remains for me but to assure you in the       most animated language of the violence of my affection. To fortune I am       perfectly indifferent, and shall make no demand of that nature on your       father, since I am well aware that it could not be complied with; and that       one thousand pounds in the four per cents, which will not be yours till       after your mother's decease, is all that you may ever be entitled to. On       that head, therefore, I shall be uniformly silent; and you may assure       yourself that no ungenerous reproach shall ever pass my lips when we are       married.""",It was absolutely necessary to interrupt him now.
11,662,It was absolutely necessary to interrupt him now.,"""You are too hasty, sir,"""
12,663,"""You are too hasty, sir,""","""I am not now to learn,"""
13,664,"""I am not now to learn,""","""Upon my word, sir,"""
14,665,"""Upon my word, sir,""","""Were it certain that Lady Catherine would think so,"""
15,666,"""Were it certain that Lady Catherine would think so,""","""Indeed, Mr Collins, all praise of me will be unnecessary. You must give       me leave to judge for myself, and pay me the compliment of believing what       I say. I wish you very happy and very rich, and by refusing your hand, do       all in my power to prevent your being otherwise. In making me the offer,       you must have satisfied the delicacy of your feelings with regard to my       family, and may take possession of Longbourn estate whenever it falls,       without any self-reproach. This matter may be considered, therefore, as       finally settled."""
16,667,"""Indeed, Mr Collins, all praise of me will be unnecessary. You must give       me leave to judge for myself, and pay me the compliment of believing what       I say. I wish you very happy and very rich, and by refusing your hand, do       all in my power to prevent your being otherwise. In making me the offer,       you must have satisfied the delicacy of your feelings with regard to my       family, and may take possession of Longbourn estate whenever it falls,       without any self-reproach. This matter may be considered, therefore, as       finally settled.""","""When I do myself the honour of speaking to you next on the subject, I       shall hope to receive a more favourable answer than you have now given me;       though I am far from accusing you of cruelty at present, because I know it       to be the established custom of your sex to reject a man on the first       application, and perhaps you have even now said as much to encourage my       suit as would be consistent with the true delicacy of the female       character."""
17,668,"""When I do myself the honour of speaking to you next on the subject, I       shall hope to receive a more favourable answer than you have now given me;       though I am far from accusing you of cruelty at present, because I know it       to be the established custom of your sex to reject a man on the first       application, and perhaps you have even now said as much to encourage my       suit as would be consistent with the true delicacy of the female       character.""","""Really, Mr Collins,"""
18,669,"""Really, Mr Collins,""","""You must give me leave to flatter myself, my dear cousin, that your       refusal of my addresses is merely words of course. My reasons for       believing it are briefly these: It does not appear to me that my hand is       unworthy of your acceptance, or that the establishment I can offer would be       any other than highly desirable. My situation in life, my connections with       the family of de Bourgh, and my relationship to your own, are       circumsances highly in my favour; and you should take it into further       consideration, that in spite of your manifold attractions, it is by no       means certain that another offer of marriage may ever be made you. Your       portion is unhappily so small that it will in all likelihood undo the       effects of your loveliness and amiable qualifications. As I must therefore       conclude that you are not serious in your rejection of me, I shall choose       to attribute it to your wish of increasing my love by suspense, according       to the usual practice of elegant females."""
19,670,"""You must give me leave to flatter myself, my dear cousin, that your       refusal of my addresses is merely words of course. My reasons for       believing it are briefly these: It does not appear to me that my hand is       unworthy of your acceptance, or that the establishment I can offer would be       any other than highly desirable. My situation in life, my connections with       the family of de Bourgh, and my relationship to your own, are       circumsances highly in my favour; and you should take it into further       consideration, that in spite of your manifold attractions, it is by no       means certain that another offer of marriage may ever be made you. Your       portion is unhappily so small that it will in all likelihood undo the       effects of your loveliness and amiable qualifications. As I must therefore       conclude that you are not serious in your rejection of me, I shall choose       to attribute it to your wish of increasing my love by suspense, according       to the usual practice of elegant females.""","""I do assure you, sir, that I have no pretensions whatever to that kind of       elegance which consists in tormenting a respectable man. I would rather be       paid the compliment of being believed sincere. I thank you again and again       for the honour you have done me in your proposals, but to accept them is       absolutely impossible. My feelings in every respect forbid it. Can I speak       plainer? Do not consider me now as an elegant female, intending to plague       you, but as a rational creature, speaking the truth from her heart."""
20,671,"""I do assure you, sir, that I have no pretensions whatever to that kind of       elegance which consists in tormenting a respectable man. I would rather be       paid the compliment of being believed sincere. I thank you again and again       for the honour you have done me in your proposals, but to accept them is       absolutely impossible. My feelings in every respect forbid it. Can I speak       plainer? Do not consider me now as an elegant female, intending to plague       you, but as a rational creature, speaking the truth from her heart.""","""You are uniformly charming!"""
21,672,"""You are uniformly charming!""","To such perseverance in wilful self-deception Elizabeth would make no       reply, and immediately and in silence withdrew; determined, if he       persisted in considering her repeated refusals as flattering       encouragement, to apply to her father, whose negative might be uttered in       such a manner as to be decisive, and whose behaviour at least could not be       mistaken for the affectation and coquetry of an elegant female."
22,673,"To such perseverance in wilful self-deception Elizabeth would make no       reply, and immediately and in silence withdrew; determined, if he       persisted in considering her repeated refusals as flattering       encouragement, to apply to her father, whose negative might be uttered in       such a manner as to be decisive, and whose behaviour at least could not be       mistaken for the affectation and coquetry of an elegant female.",Chapter 20
23,674,Chapter 20,"Mr Collins was not left long to the silent contemplation of his       successful love; for Mrs Bennet, having dawdled about in the vestibule to       watch for the end of the conference, no sooner saw Elizabeth open the door       and with quick step pass her towards the staircase, than she entered the       breakfast-room, and congratulated both him and herself in warm termson       the happy prospect of their nearer connection. Mr Collins received and       returned these felicitations with equal pleasure, and then proceeded to       relate the particulars of their interview, with the result of which he       trusted he had every reason to be satisfied, since the refusal which his       cousin had steadfastly given him would naturally flow from her bashful       modesty and the genuine delicacy of her character."
24,675,"Mr Collins was not left long to the silent contemplation of his       successful love; for Mrs Bennet, having dawdled about in the vestibule to       watch for the end of the conference, no sooner saw Elizabeth open the door       and with quick step pass her towards the staircase, than she entered the       breakfast-room, and congratulated both him and herself in warm termson       the happy prospect of their nearer connection. Mr Collins received and       returned these felicitations with equal pleasure, and then proceeded to       relate the particulars of their interview, with the result of which he       trusted he had every reason to be satisfied, since the refusal which his       cousin had steadfastly given him would naturally flow from her bashful       modesty and the genuine delicacy of her character.","This information, however, startled Mrs Bennet; she would have been glad       to be equally satisfied that her daughter had meant to encourage him by       protesting against his proposals, but she dared not believe it, and could       not help saying so."
25,676,"This information, however, startled Mrs Bennet; she would have been glad       to be equally satisfied that her daughter had meant to encourage him by       protesting against his proposals, but she dared not believe it, and could       not help saying so.","""But, depend upon it, Mr Collins,"""
26,677,"""But, depend upon it, Mr Collins,""","""Pardon me for interrupting you, madam,"""
27,678,"""Pardon me for interrupting you, madam,""","""Sir, you quite misunderstand me,"""
28,679,"""Sir, you quite misunderstand me,""","She would not give him time to reply, but hurrying instantly to her       husband, called out as she entered the library, "
29,680,"She would not give him time to reply, but hurrying instantly to her       husband, called out as she entered the library, ","Mr Bennet raised his eyes from his book as she entered, and fixed them on       her face with a calm unconcern which was not in the least altered by her       communication."
30,681,"Mr Bennet raised his eyes from his book as she entered, and fixed them on       her face with a calm unconcern which was not in the least altered by her       communication.","""I have not the pleasure of understanding you,"""
31,682,"""I have not the pleasure of understanding you,""","""Of Mr Collins and Lizzy. Lizzy declares she will not have Mr Collins,       and Mr Collins begins to say that he will not have Lizzy."""
32,683,"""Of Mr Collins and Lizzy. Lizzy declares she will not have Mr Collins,       and Mr Collins begins to say that he will not have Lizzy.""","""And what am I to do on the occasion? It seemsan hopeless business."""
33,684,"""And what am I to do on the occasion? It seemsan hopeless business.""","""Speak to Lizzy about it yourself. Tell her that you insist upon her       marrying him."""
34,685,"""Speak to Lizzy about it yourself. Tell her that you insist upon her       marrying him.""","""Let her be called down. She shall hear my opinion."""
35,686,"""Let her be called down. She shall hear my opinion.""","Mrs Bennet rang the bell, and MissElizabeth was summoned to the library."
36,687,"Mrs Bennet rang the bell, and MissElizabeth was summoned to the library.","""Come here, child,"""
37,688,"""Come here, child,""","""I have, sir."""
38,689,"""I have, sir.""","""Very well. We now come to the point. Your mother insists upon your       accepting it. Is it not so, Mrs Bennet?"""
39,690,"""Very well. We now come to the point. Your mother insists upon your       accepting it. Is it not so, Mrs Bennet?""","""Yes, or I will never see her again."""
40,691,"""Yes, or I will never see her again.""","""An unhappy alternative is before you, Elizabeth. From this day you must       be a stranger to one of your parents. Your mother will never see you again       if you do not marry Mr Collins, and I will never see you again if       you do."""
41,692,"""An unhappy alternative is before you, Elizabeth. From this day you must       be a stranger to one of your parents. Your mother will never see you again       if you do not marry Mr Collins, and I will never see you again if       you do.""","Elizabeth could not but smile at such a conclusion of such a beginning,       but Mrs Bennet, who had persuaded herself that her husband regarded the       affair as she wished, was excessively disappointed."
42,693,"Elizabeth could not but smile at such a conclusion of such a beginning,       but Mrs Bennet, who had persuaded herself that her husband regarded the       affair as she wished, was excessively disappointed.","""What do you mean, Mr Bennet, in talking this way? You promised me to insist       upon her marrying him."""
43,694,"""What do you mean, Mr Bennet, in talking this way? You promised me to insist       upon her marrying him.""","""My dear,"""
44,695,"""My dear,""","Not yet, however, in spite of her disappointment in her husband, did Mrs       Bennet give up the point. She talked to Elizabeth again and again; coaxed       and threatened her by turns. She endeavoured to secure Jane in her       interest; but Jane, with all possible mildness, declined interfering; and       Elizabeth, sometimes with real earnestness, and sometimes with playful       gaiety, replied to her attacks. Though her manner varied, however, her       determination never did."
45,696,"Not yet, however, in spite of her disappointment in her husband, did Mrs       Bennet give up the point. She talked to Elizabeth again and again; coaxed       and threatened her by turns. She endeavoured to secure Jane in her       interest; but Jane, with all possible mildness, declined interfering; and       Elizabeth, sometimes with real earnestness, and sometimes with playful       gaiety, replied to her attacks. Though her manner varied, however, her       determination never did.","Mr Collins, meanwhile, was meditating in solitude on what had passed. He       thought too well of himslf to comprehend on what motives his cousin could       refuse him; and though his pride was hurt, he suffered in no other way.       His regard for her was quite imaginary; and the possibility of her       deserving her mother's reproach prevented his feeling any regret."
46,697,"Mr Collins, meanwhile, was meditating in solitude on what had passed. He       thought too well of himslf to comprehend on what motives his cousin could       refuse him; and though his pride was hurt, he suffered in no other way.       His regard for her was quite imaginary; and the possibility of her       deserving her mother's reproach prevented his feeling any regret.","While the family were in this confusion, Charlotte Lucas came to spend the       day with them. She was met in the vestibule by Lydia, who, flying to her,       cried in a half whisper, "
47,698,"While the family were in this confusion, Charlotte Lucas came to spend the       day with them. She was met in the vestibule by Lydia, who, flying to her,       cried in a half whisper, ","Charlotte hardly had time to answer, before they were joined by Kitty, who       came to tell the same news; and no sooner had they entered the       breakfast-room, where Mrs Bennet was alone, than she likewise began on       the subject, calling on MissLucas for her compassion, and entreating her       to persuade her friend Lizzy to comply with the wishes of all her family.       "
48,699,"Charlotte hardly had time to answer, before they were joined by Kitty, who       came to tell the same news; and no sooner had they entered the       breakfast-room, where Mrs Bennet was alone, than she likewise began on       the subject, calling on MissLucas for her compassion, and entreating her       to persuade her friend Lizzy to comply with the wishes of all her family.       ",Charlotte's reply was spared by the entrance of Jane and Elizabeth.
49,700,Charlotte's reply was spared by the entrance of Jane and Elizabeth.,"""Aye, there she comes,"""
50,701,"""Aye, there she comes,""","Her daughters listened in silence to this effusion, sensible that any       attempt to reason with her or soothe her would only increase the       irritation. She talked on, therefore, without interruption from any of       them, till they were joined by Mr Collins, who entered the room with an       air more stately than usual, and on perceiving whom, she said to the       girls, "
51,702,"Her daughters listened in silence to this effusion, sensible that any       attempt to reason with her or soothe her would only increase the       irritation. She talked on, therefore, without interruption from any of       them, till they were joined by Mr Collins, who entered the room with an       air more stately than usual, and on perceiving whom, she said to the       girls, ","Elizabeth passed quietly out of the room, Jane and Kitty followed, but       Lydia stood her ground, determined to hear all she could; and Charlotte,       detained first by the civility of Mr Collins, whose inquiries after       herself and all her family were very minute, and then by a little       curiosity, satisfied herself with walking to the window and pretending not       to hear. In a doleful voice Mrs Bennet began the projected conversation:       "
52,703,"Elizabeth passed quietly out of the room, Jane and Kitty followed, but       Lydia stood her ground, determined to hear all she could; and Charlotte,       detained first by the civility of Mr Collins, whose inquiries after       herself and all her family were very minute, and then by a little       curiosity, satisfied herself with walking to the window and pretending not       to hear. In a doleful voice Mrs Bennet began the projected conversation:       ","""My dear madam,"""
53,704,"""My dear madam,""",Chapter 21
54,705,Chapter 21,"The discussion of Mr Collins's offer was now nearly at an end, and       Elizabeth had only to suffer from the uncomfortable feelings necessarily       attending it, and occasionally from some peevish allusions of her mother.       As for the gentleman himslf, his feelings were chiefly expressed,       not by embarrassment or dejection, or by trying to avoid her, but by       stiffness of manner and resentful silence. He scarcely ever spoke to her,       and the assiduous attentions which he had been so sensible of himslf were       transferred for the rest of the day to MissLucas, whose civility in       listening to him was a seasonable relief to them all, and especially to       her friend."
55,706,"The discussion of Mr Collins's offer was now nearly at an end, and       Elizabeth had only to suffer from the uncomfortable feelings necessarily       attending it, and occasionally from some peevish allusions of her mother.       As for the gentleman himslf, his feelings were chiefly expressed,       not by embarrassment or dejection, or by trying to avoid her, but by       stiffness of manner and resentful silence. He scarcely ever spoke to her,       and the assiduous attentions which he had been so sensible of himslf were       transferred for the rest of the day to MissLucas, whose civility in       listening to him was a seasonable relief to them all, and especially to       her friend.","The morrow produced no abatement of Mrs Bennet's ill-humour or ill       health. Mr Collins was also in the same state of angry pride. Elizabeth       had hoped that his resentment might shorten his visit, but his plan did       not appear in the least affected by it. He was always to have gone on       Saturday, and to Saturday he meant to stay."
56,707,"The morrow produced no abatement of Mrs Bennet's ill-humour or ill       health. Mr Collins was also in the same state of angry pride. Elizabeth       had hoped that his resentment might shorten his visit, but his plan did       not appear in the least affected by it. He was always to have gone on       Saturday, and to Saturday he meant to stay.","After breakfast, the girls walked to Meryton to inquire if Mr Wickham       were returned, and to lament over his absence from the Netherfield ball.       He joined them on their entering the town, and attended them to their       aunt's where his regret and vexation, and the concern of everybody, was       well talked over. To Elizabeth, however, he voluntarily acknowledged that       the necessity of his absence had been self-imposed."
57,708,"After breakfast, the girls walked to Meryton to inquire if Mr Wickham       were returned, and to lament over his absence from the Netherfield ball.       He joined them on their entering the town, and attended them to their       aunt's where his regret and vexation, and the concern of everybody, was       well talked over. To Elizabeth, however, he voluntarily acknowledged that       the necessity of his absence had been self-imposed.","""I found,"""
58,709,"""I found,""","She highly approved his forbearance, and they had leisure for a full       discussion of it, and for all the commendation which they civilly bestowed       on each other, as Wickham and another officer walked back with them to       Longbourn, and during the walk he particularly attended to her. His       accompanying them was a double advantage; she felt all the compliment it       offered to herself, and it was most acceptable as an occasion of       introducing him to her father and mother."
59,710,"She highly approved his forbearance, and they had leisure for a full       discussion of it, and for all the commendation which they civilly bestowed       on each other, as Wickham and another officer walked back with them to       Longbourn, and during the walk he particularly attended to her. His       accompanying them was a double advantage; she felt all the compliment it       offered to herself, and it was most acceptable as an occasion of       introducing him to her father and mother.","Soon after their return, a letter was delivered to MissBennet; it came       from Netherfield. The envelope contained a sheet of elegant, little,       hot-pressed paper, well covered with a lady's fair, flowing hand; and       Elizabeth saw her sister's countenance change as she read it, and saw her       dwelling intently on some particular passages. Jane recollected herself       soon, and putting the letter away, tried to join with her usual       cheerfulness in the general conversation; but Elizabeth felt an anxiety on       the subject which drew off her attention even from Wickham; and no sooner       had he and his companion taken leave, than a glance from Jane invited her       to follow her up stairs. When they had gained their own room, Jane, taking       out the letter, said:"
60,711,"Soon after their return, a letter was delivered to MissBennet; it came       from Netherfield. The envelope contained a sheet of elegant, little,       hot-pressed paper, well covered with a lady's fair, flowing hand; and       Elizabeth saw her sister's countenance change as she read it, and saw her       dwelling intently on some particular passages. Jane recollected herself       soon, and putting the letter away, tried to join with her usual       cheerfulness in the general conversation; but Elizabeth felt an anxiety on       the subject which drew off her attention even from Wickham; and no sooner       had he and his companion taken leave, than a glance from Jane invited her       to follow her up stairs. When they had gained their own room, Jane, taking       out the letter, said:","""This is from Caroline Bingley; what it contains has surprised me a good       deal. The whole party have left Netherfield by this time, and are on their       way to town—and without any intention of coming back again. You       shall hear what she says."""
61,712,"""This is from Caroline Bingley; what it contains has surprised me a good       deal. The whole party have left Netherfield by this time, and are on their       way to town—and without any intention of coming back again. You       shall hear what she says.""","She then read the first sentence aloud, which comprised the information of       their having just resolved to follow their brother to town directly, and       of their meaning to dine in Grosvenor Street, where Mr Hurst had a house.       The next was in these words: "
62,713,"She then read the first sentence aloud, which comprised the information of       their having just resolved to follow their brother to town directly, and       of their meaning to dine in Grosvenor Street, where Mr Hurst had a house.       The next was in these words: ","""It is unlucky,"""
63,714,"""It is unlucky,""","""Caroline decidedly says that none of the party will return into       Hertfordshire this winter. I will read it to you:"""
64,715,"""Caroline decidedly says that none of the party will return into       Hertfordshire this winter. I will read it to you:""","""When my brother left us yesterday, he imagined that the business which       took him to London might be concluded in three or four days; but as we are       certain it cannot be so, and at the same time convinced that when Charles       gets to town he will be in no hurry to leave it again, we have determined       on following him thither, that he may not be obliged to spend his vacant       hours in a comfortless hotel. Many of my acquaintances are already there       for the winter; I wish that I could hear that you, my dearest friend, had       any intention of making one of the crowd—but of that I despair. I       sincerely hope your Christmas in Hertfordshire may abound in the gaieties       which that season generally brings, and that your beaux will be so       numerous as to prevent your feeling the loss of the three of whom we shall       deprive you."""
65,716,"""When my brother left us yesterday, he imagined that the business which       took him to London might be concluded in three or four days; but as we are       certain it cannot be so, and at the same time convinced that when Charles       gets to town he will be in no hurry to leave it again, we have determined       on following him thither, that he may not be obliged to spend his vacant       hours in a comfortless hotel. Many of my acquaintances are already there       for the winter; I wish that I could hear that you, my dearest friend, had       any intention of making one of the crowd—but of that I despair. I       sincerely hope your Christmas in Hertfordshire may abound in the gaieties       which that season generally brings, and that your beaux will be so       numerous as to prevent your feeling the loss of the three of whom we shall       deprive you.""","""It is evident by this,"""
66,717,"""It is evident by this,""","""It is only evident that MissBingley does not mean that he should."""
67,718,"""It is only evident that MissBingley does not mean that he should.""","""Why will you think so? It must be his own doing. He is his own master.       But you do not know all. I will read you the passage which       particularly hurts me. I will have no reserves from you."""
68,719,"""Why will you think so? It must be his own doing. He is his own master.       But you do not know all. I will read you the passage which       particularly hurts me. I will have no reserves from you.""","""Mr Darcy is impatient to see his sister; and, to confess the truth, we       are scarcely less eager to meet her again. I really do not think Georgiana       Darcy has her equal for beauty, elegance, and accomplishments; and the       affection she inspires in Louisa and myself is heightened into something       still more interesting, from the hope we dare entertain of her being       hereafter our sister. I do not know whether I ever before mentioned to you       my feelings on this subject; but I will not leave the country without       confiding them, and I trust you will not esteem them unreasonable. My       brother admires her greatly already; he will have frequent opportunity now       of seeing her on the most intimate footing; her relations all wish the       connection as much as his own; and a sister's partiality is not misleading       me, I think, when I call Charles most capable of engaging any woman's       heart. With all these circumsances to favour an attachment, and nothing       to prevent it, am I wrong, my dearest Jane, in indulging the hope of an       event which will secure the happiness of so many?"""
69,720,"""Mr Darcy is impatient to see his sister; and, to confess the truth, we       are scarcely less eager to meet her again. I really do not think Georgiana       Darcy has her equal for beauty, elegance, and accomplishments; and the       affection she inspires in Louisa and myself is heightened into something       still more interesting, from the hope we dare entertain of her being       hereafter our sister. I do not know whether I ever before mentioned to you       my feelings on this subject; but I will not leave the country without       confiding them, and I trust you will not esteem them unreasonable. My       brother admires her greatly already; he will have frequent opportunity now       of seeing her on the most intimate footing; her relations all wish the       connection as much as his own; and a sister's partiality is not misleading       me, I think, when I call Charles most capable of engaging any woman's       heart. With all these circumsances to favour an attachment, and nothing       to prevent it, am I wrong, my dearest Jane, in indulging the hope of an       event which will secure the happiness of so many?""","""What do you think of this sentence, my dear Lizzy?"""
70,721,"""What do you think of this sentence, my dear Lizzy?""","""Yes, there can; for mine is totally different. Will you hear it?"""
71,722,"""Yes, there can; for mine is totally different. Will you hear it?""","""Most willingly."""
72,723,"""Most willingly.""","""You shall have it in a few words. MissBingley sees that her brother is       in love with you, and wants him to marry MissDarcy. She follows him to       town in hope of keeping him there, and tries to persuade you that he does       not care about you."""
73,724,"""You shall have it in a few words. MissBingley sees that her brother is       in love with you, and wants him to marry MissDarcy. She follows him to       town in hope of keeping him there, and tries to persuade you that he does       not care about you.""",Jane shook her head.
74,725,Jane shook her head.,"""Indeed, Jane, you ought to believe me. No one who has ever seen you       together can doubt his affection. MissBingley, I am sure, cannot. She is       not such a simpleton. Could she have seen half as much love in Mr Darcy       for herself, she would have ordered her wedding clothes. But the case is       this: We are not rich enough or grand enough for them; and she is the more       anxious to get MissDarcy for her brother, from the notion that when there       has been one intermarriage, she may have less trouble in achieving       a second; in which there is certainly some ingenuity, and I dare say it       would succeed, if Missde Bourgh were out of the way. But, my dearest       Jane, you cannot seriously imagine that because MissBingley tells you her       brother greatly admires MissDarcy, he is in the smallest degree less       sensible of your merit than when he took leave of you on Tuesday,       or that it will be in her power to persuade him that, instead of being in       love with you, he is very much in love with her friend."""
