,utter_1,utter_2,label,chapter_tag,split_tag
10,"""that it is usual with young ladies to reject the addresses of the       man whom they secretly mean to accept, when he first applies for their       favour; and that sometimes the refusal is repeated a second, or even a       third time. I am therefore by no means discouraged by what you have just       said, and shall hope to lead you to the altar ere long.""","""Upon my word, sir,""",I-OTHER,Chapter 19,test
11,"""Upon my word, sir,""","""your hope is a rather extraordinary       one after my declaration. I do assure you that I am not one of those young       ladies (if such young ladies there are) who are so daring as to risk their       happiness on the chance of being asked a second time. I am perfectly       serious in my refusal. You could not make me happy, and I am       convinced that I am the last woman in the world who could make you so.       Nay, were your friend Lady Catherine to know me, I am persuaded she would       find me in every respect ill qualified for the situation.""",B-OTHER,Chapter 19,test
12,"""your hope is a rather extraordinary       one after my declaration. I do assure you that I am not one of those young       ladies (if such young ladies there are) who are so daring as to risk their       happiness on the chance of being asked a second time. I am perfectly       serious in my refusal. You could not make me happy, and I am       convinced that I am the last woman in the world who could make you so.       Nay, were your friend Lady Catherine to know me, I am persuaded she would       find me in every respect ill qualified for the situation.""","""Were it certain that Lady Catherine would think so,""",I-OTHER,Chapter 19,test
13,"""Were it certain that Lady Catherine would think so,""","""but I cannot imagine that her ladyship would at all       disapprove of you. And you may be certain when I have the honour of seeing       her again, I shall speak in the very highest termsof your modesty,       economy, and other amiable qualification.""",B-OTHER,Chapter 19,test
14,"""but I cannot imagine that her ladyship would at all       disapprove of you. And you may be certain when I have the honour of seeing       her again, I shall speak in the very highest termsof your modesty,       economy, and other amiable qualification.""","""Indeed, Mr Collins, all praise of me will be unnecessary. You must give       me leave to judge for myself, and pay me the compliment of believing what       I say. I wish you very happy and very rich, and by refusing your hand, do       all in my power to prevent your being otherwise. In making me the offer,       you must have satisfied the delicacy of your feelings with regard to my       family, and may take possession of Longbourn estate whenever it falls,       without any self-reproach. This matter may be considered, therefore, as       finally settled.""",I-OTHER,Chapter 19,test
15,"""Indeed, Mr Collins, all praise of me will be unnecessary. You must give       me leave to judge for myself, and pay me the compliment of believing what       I say. I wish you very happy and very rich, and by refusing your hand, do       all in my power to prevent your being otherwise. In making me the offer,       you must have satisfied the delicacy of your feelings with regard to my       family, and may take possession of Longbourn estate whenever it falls,       without any self-reproach. This matter may be considered, therefore, as       finally settled.""","""When I do myself the honour of speaking to you next on the subject, I       shall hope to receive a more favourable answer than you have now given me;       though I am far from accusing you of cruelty at present, because I know it       to be the established custom of your sex to reject a man on the first       application, and perhaps you have even now said as much to encourage my       suit as would be consistent with the true delicacy of the female       character.""",B-OTHER,Chapter 19,test
16,"""When I do myself the honour of speaking to you next on the subject, I       shall hope to receive a more favourable answer than you have now given me;       though I am far from accusing you of cruelty at present, because I know it       to be the established custom of your sex to reject a man on the first       application, and perhaps you have even now said as much to encourage my       suit as would be consistent with the true delicacy of the female       character.""","""Really, Mr Collins,""",B-OTHER,Chapter 19,test
17,"""Really, Mr Collins,""","""you puzzle me       exceedingly. If what I have hitherto said can appear to you in the form of       encouragement, I know not how to express my refusal in such a way as to       convince you of its being one.""",B-OTHER,Chapter 19,test
18,"""you puzzle me       exceedingly. If what I have hitherto said can appear to you in the form of       encouragement, I know not how to express my refusal in such a way as to       convince you of its being one.""","""You must give me leave to flatter myself, my dear cousin, that your       refusal of my addresses is merely words of course. My reasons for       believing it are briefly these: It does not appear to me that my hand is       unworthy of your acceptance, or that the establishment I can offer would be       any other than highly desirable. My situation in life, my connections with       the family of de Bourgh, and my relationship to your own, are       circumsances highly in my favour; and you should take it into further       consideration, that in spite of your manifold attractions, it is by no       means certain that another offer of marriage may ever be made you. Your       portion is unhappily so small that it will in all likelihood undo the       effects of your loveliness and amiable qualifications. As I must therefore       conclude that you are not serious in your rejection of me, I shall choose       to attribute it to your wish of increasing my love by suspense, according       to the usual practice of elegant females.""",I-OTHER,Chapter 19,test
19,"""You must give me leave to flatter myself, my dear cousin, that your       refusal of my addresses is merely words of course. My reasons for       believing it are briefly these: It does not appear to me that my hand is       unworthy of your acceptance, or that the establishment I can offer would be       any other than highly desirable. My situation in life, my connections with       the family of de Bourgh, and my relationship to your own, are       circumsances highly in my favour; and you should take it into further       consideration, that in spite of your manifold attractions, it is by no       means certain that another offer of marriage may ever be made you. Your       portion is unhappily so small that it will in all likelihood undo the       effects of your loveliness and amiable qualifications. As I must therefore       conclude that you are not serious in your rejection of me, I shall choose       to attribute it to your wish of increasing my love by suspense, according       to the usual practice of elegant females.""","""I do assure you, sir, that I have no pretensions whatever to that kind of       elegance which consists in tormenting a respectable man. I would rather be       paid the compliment of being believed sincere. I thank you again and again       for the honour you have done me in your proposals, but to accept them is       absolutely impossible. My feelings in every respect forbid it. Can I speak       plainer? Do not consider me now as an elegant female, intending to plague       you, but as a rational creature, speaking the truth from her heart.""",B-OTHER,Chapter 19,test
20,"""You are uniformly charming!""","""and I am persuaded that when sanctioned by the express authority of both       your excellent parents, my proposals will not fail of being acceptable.""",B-START,Chapter 19,test
21,"""But, depend upon it, Mr Collins,""","""that Lizzy shall be       brought to reason. I will speak to her about it directly. She is a very       headstrong, foolish girl, and does not know her own interest but I will make       her know it.""",B-START,Chapter 20,test
22,"""that Lizzy shall be       brought to reason. I will speak to her about it directly. She is a very       headstrong, foolish girl, and does not know her own interest but I will make       her know it.""","""Pardon me for interrupting you, madam,""",I-START,Chapter 20,test
23,"""Pardon me for interrupting you, madam,""","""but if she is       really headstrong and foolish, I know not whether she would altogether be       a very desirable wife to a man in my situation, who naturally looks for       happiness in the marriage state. If therefore she actually persists in       rejecting my suit, perhaps it were better not to force her into accepting       me, because if liable to such defects of temper, she could not contribute       much to my felicity.""",B-OTHER,Chapter 20,test
24,"""but if she is       really headstrong and foolish, I know not whether she would altogether be       a very desirable wife to a man in my situation, who naturally looks for       happiness in the marriage state. If therefore she actually persists in       rejecting my suit, perhaps it were better not to force her into accepting       me, because if liable to such defects of temper, she could not contribute       much to my felicity.""","""Sir, you quite misunderstand me,""",I-OTHER,Chapter 20,test
25,"""Sir, you quite misunderstand me,""","""Lizzy is       only headstrong in such matters as these. In everything else she is as       good-natured a girl as ever lived. I will go directly to Mr Bennet, and       we shall very soon settle it with her, I am sure.""",B-OTHER,Chapter 20,test
26,"""Oh! Mr Bennet, you are       wanted immediately; we are all in an uproar. You must come and make Lizzy       marry Mr Collins, for she vows she will not have him, and if you do not       make haste he will change his mind and not have her.""","""I have not the pleasure of understanding you,""",B-START,Chapter 20,test
27,"""I have not the pleasure of understanding you,""","""Of what are you talking?""",B-OTHER,Chapter 20,test
28,"""Of what are you talking?""","""And what am I to do on the occasion? It seemsan hopeless business.""",I-OTHER,Chapter 20,test
29,"""And what am I to do on the occasion? It seemsan hopeless business.""","""Speak to Lizzy about it yourself. Tell her that you insist upon her       marrying him.""",B-OTHER,Chapter 20,test
30,"""Speak to Lizzy about it yourself. Tell her that you insist upon her       marrying him.""","""Let her be called down. She shall hear my opinion.""",B-OTHER,Chapter 20,test
31,"""Come here, child,""","""I have sent for you       on an affair of importance. I understand that Mr Collins has made you an       offer of marriage. Is it true?""",B-START,Chapter 20,test
32,"""I have sent for you       on an affair of importance. I understand that Mr Collins has made you an       offer of marriage. Is it true?""","""Very well—and       this offer of marriage you have refused?""",I-START,Chapter 20,test
33,"""Very well—and       this offer of marriage you have refused?""","""I have, sir.""",B-OTHER,Chapter 20,test
34,"""I have, sir.""","""Very well. We now come to the point. Your mother insists upon your       accepting it. Is it not so, Mrs Bennet?""",B-OTHER,Chapter 20,test
35,"""Very well. We now come to the point. Your mother insists upon your       accepting it. Is it not so, Mrs Bennet?""","""Yes, or I will never see her again.""",B-OTHER,Chapter 20,test
36,"""An unhappy alternative is before you, Elizabeth. From this day you must       be a stranger to one of your parents. Your mother will never see you again       if you do not marry Mr Collins, and I will never see you again if       you do.""","""What do you mean, Mr Bennet, in talking this way? You promised me to insist       upon her marrying him.""",B-START,Chapter 20,test
37,"""What do you mean, Mr Bennet, in talking this way? You promised me to insist       upon her marrying him.""","""My dear,""",B-OTHER,Chapter 20,test
38,"""My dear,""","""I have two small favours to request.       First, that you will allow me the free use of my understanding on the       present occasion; and secondly, of my room. I shall be glad to have the       library to myself as soon as may be.""",B-OTHER,Chapter 20,test
39,"""I am glad you are come, for there is such fun       here! What do you think has happened this morning? Mr Collins has made an       offer to Lizzy, and she will not have him.""","""Pray do, my dear MissLucas,""",B-START,Chapter 20,test
40,"""Pray do, my dear MissLucas,""","""for nobody       is on my side, nobody takes part with me. I am cruelly used, nobody feels       for my poor nerves.""",B-OTHER,Chapter 20,test
41,"""Aye, there she comes,""","""looking as unconcerned as       may be, and caring no more for us than if we were at York, provided she       can have her own way. But I tell you, MissLizzy—if you take it into       your head to go on refusing every offer of marriage in this way, you will       never get a husband at all—and I am sure I do not know who is to       maintain you when your father is dead. I shall not be able to keep you—and       so I warn you. I have done with you from this very day. I told you in the       library, you know, that I should never speak to you again, and you will       find me as good as my word. I have no pleasure in talking to undutiful       children. Not that I have much pleasure, indeed, in talking to anybody.       People who suffer as I do from nervous complaints can have no great       inclination for talking. Nobody can tell what I suffer! But it is always       so. Those who do not complain are never pitied.""",B-START,Chapter 20,test
42,"""looking as unconcerned as       may be, and caring no more for us than if we were at York, provided she       can have her own way. But I tell you, MissLizzy—if you take it into       your head to go on refusing every offer of marriage in this way, you will       never get a husband at all—and I am sure I do not know who is to       maintain you when your father is dead. I shall not be able to keep you—and       so I warn you. I have done with you from this very day. I told you in the       library, you know, that I should never speak to you again, and you will       find me as good as my word. I have no pleasure in talking to undutiful       children. Not that I have much pleasure, indeed, in talking to anybody.       People who suffer as I do from nervous complaints can have no great       inclination for talking. Nobody can tell what I suffer! But it is always       so. Those who do not complain are never pitied.""","""Now, I do insist upon it, that you, all of you, hold your tongues,       and let me and Mr Collins have a little conversation together.""",I-START,Chapter 20,test
43,"""Oh! Mr Collins!""","""My dear madam,""",B-START,Chapter 20,test
44,"""My dear madam,""","""let us be for ever silent on this point. Far       be it from me,""",B-OTHER,Chapter 20,test
45,"""let us be for ever silent on this point. Far       be it from me,""","""to resent the behaviour of your daughter. Resignation to       inevitable evils is the duty of us all; the peculiar duty of a young man       who has been so fortunate as I have been in early preferment; and I trust       I am resigned. Perhaps not the less so from feeling a doubt of my positive       happiness had my fair cousin honoured me with her hand; for I have often       observed that resignation is never so perfect as when the blessing denied       begins to lose somewhat of its value in our estimation. You will not, I       hope, consider me as showing any disrespect to your family, my dear madam,       by thus withdrawing my pretensions to your daughter's favour, without       having paid yourself and Mr Bennet the compliment of requesting you to       interpose your authority in my behalf. My conduct may, I fear, be       objectionable in having accepted my dismisson from your daughter's lips       instead of your own. But we are all liable to error. I have certainly       meant well through the whole affair. My object has been to secure an       amiable companion for myself, with due consideration for the advantage of       all your family, and if my manner has been at all reprehensible, I       here beg leave to apologise.""",I-OTHER,Chapter 20,test
46,"""I found,""","""as the time drew near that I had better not meet Mr       Darcy; that to be in the same room, the same party with him for so many       hours together, might be more than I could bear, and that scenes might       arise unpleasant to more than myself.""",B-START,Chapter 21,test
47,"""I do not pretend to regret anything I shall       leave in Hertfordshire, except your society, my dearest friend; but we       will hope, at some future period, to enjoy many returns of that delightful       intercourse we have known, and in the meanwhile may lessen the pain of       separation by a very frequent and most unreserved correspondence. I depend       on you for that.""","""It is unlucky,""",B-START,Chapter 21,test
48,"""It is unlucky,""","""that you should not be       able to see your friends before they leave the country. But may we not       hope that the period of future happiness to which MissBingley looks       forward may arrive earlier than she is aware, and that the delightful       intercourse you have known as friends will be renewed with yet greater       satisfaction as sisters? Mr Bingley will not be detained in London by       them.""",B-OTHER,Chapter 21,test
49,"""that you should not be       able to see your friends before they leave the country. But may we not       hope that the period of future happiness to which MissBingley looks       forward may arrive earlier than she is aware, and that the delightful       intercourse you have known as friends will be renewed with yet greater       satisfaction as sisters? Mr Bingley will not be detained in London by       them.""","""Caroline decidedly says that none of the party will return into       Hertfordshire this winter. I will read it to you:""",I-START,Chapter 21,test
50,"""Caroline decidedly says that none of the party will return into       Hertfordshire this winter. I will read it to you:""","""When my brother left us yesterday, he imagined that the business which       took him to London might be concluded in three or four days; but as we are       certain it cannot be so, and at the same time convinced that when Charles       gets to town he will be in no hurry to leave it again, we have determined       on following him thither, that he may not be obliged to spend his vacant       hours in a comfortless hotel. Many of my acquaintances are already there       for the winter; I wish that I could hear that you, my dearest friend, had       any intention of making one of the crowd—but of that I despair. I       sincerely hope your Christmas in Hertfordshire may abound in the gaieties       which that season generally brings, and that your beaux will be so       numerous as to prevent your feeling the loss of the three of whom we shall       deprive you.""",B-OTHER,Chapter 21,test
51,"""When my brother left us yesterday, he imagined that the business which       took him to London might be concluded in three or four days; but as we are       certain it cannot be so, and at the same time convinced that when Charles       gets to town he will be in no hurry to leave it again, we have determined       on following him thither, that he may not be obliged to spend his vacant       hours in a comfortless hotel. Many of my acquaintances are already there       for the winter; I wish that I could hear that you, my dearest friend, had       any intention of making one of the crowd—but of that I despair. I       sincerely hope your Christmas in Hertfordshire may abound in the gaieties       which that season generally brings, and that your beaux will be so       numerous as to prevent your feeling the loss of the three of whom we shall       deprive you.""","""It is evident by this,""",B-OTHER,Chapter 21,test
52,"""It is evident by this,""","""that he comes back no more this       winter.""",B-OTHER,Chapter 21,test
53,"""that he comes back no more this       winter.""","""It is only evident that MissBingley does not mean that he should.""",I-OTHER,Chapter 21,test
54,"""It is only evident that MissBingley does not mean that he should.""","""Why will you think so? It must be his own doing. He is his own master.       But you do not know all. I will read you the passage which       particularly hurts me. I will have no reserves from you.""",B-OTHER,Chapter 21,test
55,"""Why will you think so? It must be his own doing. He is his own master.       But you do not know all. I will read you the passage which       particularly hurts me. I will have no reserves from you.""","""Mr Darcy is impatient to see his sister; and, to confess the truth, we       are scarcely less eager to meet her again. I really do not think Georgiana       Darcy has her equal for beauty, elegance, and accomplishments; and the       affection she inspires in Louisa and myself is heightened into something       still more interesting, from the hope we dare entertain of her being       hereafter our sister. I do not know whether I ever before mentioned to you       my feelings on this subject; but I will not leave the country without       confiding them, and I trust you will not esteem them unreasonable. My       brother admires her greatly already; he will have frequent opportunity now       of seeing her on the most intimate footing; her relations all wish the       connection as much as his own; and a sister's partiality is not misleading       me, I think, when I call Charles most capable of engaging any woman's       heart. With all these circumsances to favour an attachment, and nothing       to prevent it, am I wrong, my dearest Jane, in indulging the hope of an       event which will secure the happiness of so many?""",B-OTHER,Chapter 21,test
56,"""Mr Darcy is impatient to see his sister; and, to confess the truth, we       are scarcely less eager to meet her again. I really do not think Georgiana       Darcy has her equal for beauty, elegance, and accomplishments; and the       affection she inspires in Louisa and myself is heightened into something       still more interesting, from the hope we dare entertain of her being       hereafter our sister. I do not know whether I ever before mentioned to you       my feelings on this subject; but I will not leave the country without       confiding them, and I trust you will not esteem them unreasonable. My       brother admires her greatly already; he will have frequent opportunity now       of seeing her on the most intimate footing; her relations all wish the       connection as much as his own; and a sister's partiality is not misleading       me, I think, when I call Charles most capable of engaging any woman's       heart. With all these circumsances to favour an attachment, and nothing       to prevent it, am I wrong, my dearest Jane, in indulging the hope of an       event which will secure the happiness of so many?""","""What do you think of this sentence, my dear Lizzy?""",B-OTHER,Chapter 21,test
57,"""What do you think of this sentence, my dear Lizzy?""","""Is it not clear enough? Does it not expressly declare       that Caroline neither expects nor wishes me to be her sister; that she is       perfectly convinced of her brother's indifference; and that if she       suspects the nature of my feelings for him, she means (most kindly!) to       put me on my guard? Can there be any other opinion on the subject?""",B-OTHER,Chapter 21,test
58,"""Is it not clear enough? Does it not expressly declare       that Caroline neither expects nor wishes me to be her sister; that she is       perfectly convinced of her brother's indifference; and that if she       suspects the nature of my feelings for him, she means (most kindly!) to       put me on my guard? Can there be any other opinion on the subject?""","""Yes, there can; for mine is totally different. Will you hear it?""",B-OTHER,Chapter 21,test
59,"""Yes, there can; for mine is totally different. Will you hear it?""","""Most willingly.""",B-OTHER,Chapter 21,test
60,"""Most willingly.""","""You shall have it in a few words. MissBingley sees that her brother is       in love with you, and wants him to marry MissDarcy. She follows him to       town in hope of keeping him there, and tries to persuade you that he does       not care about you.""",B-OTHER,Chapter 21,test
61,"""You shall have it in a few words. MissBingley sees that her brother is       in love with you, and wants him to marry MissDarcy. She follows him to       town in hope of keeping him there, and tries to persuade you that he does       not care about you.""","""Indeed, Jane, you ought to believe me. No one who has ever seen you       together can doubt his affection. MissBingley, I am sure, cannot. She is       not such a simpleton. Could she have seen half as much love in Mr Darcy       for herself, she would have ordered her wedding clothes. But the case is       this: We are not rich enough or grand enough for them; and she is the more       anxious to get MissDarcy for her brother, from the notion that when there       has been one intermarriage, she may have less trouble in achieving       a second; in which there is certainly some ingenuity, and I dare say it       would succeed, if Missde Bourgh were out of the way. But, my dearest       Jane, you cannot seriously imagine that because MissBingley tells you her       brother greatly admires MissDarcy, he is in the smallest degree less       sensible of your merit than when he took leave of you on Tuesday,       or that it will be in her power to persuade him that, instead of being in       love with you, he is very much in love with her friend.""",B-OTHER,Chapter 21,test
62,"""Indeed, Jane, you ought to believe me. No one who has ever seen you       together can doubt his affection. MissBingley, I am sure, cannot. She is       not such a simpleton. Could she have seen half as much love in Mr Darcy       for herself, she would have ordered her wedding clothes. But the case is       this: We are not rich enough or grand enough for them; and she is the more       anxious to get MissDarcy for her brother, from the notion that when there       has been one intermarriage, she may have less trouble in achieving       a second; in which there is certainly some ingenuity, and I dare say it       would succeed, if Missde Bourgh were out of the way. But, my dearest       Jane, you cannot seriously imagine that because MissBingley tells you her       brother greatly admires MissDarcy, he is in the smallest degree less       sensible of your merit than when he took leave of you on Tuesday,       or that it will be in her power to persuade him that, instead of being in       love with you, he is very much in love with her friend.""","""If we thought alike of MissBingley,""",B-OTHER,Chapter 21,test
63,"""If we thought alike of MissBingley,""","""your representation       of all this might make me quite easy. But I know the foundation is unjust.       Caroline is incapable of wilfully deceiving anyone; and all that I can       hope in this case is that she is deceiving herself.""",B-OTHER,Chapter 21,test
64,"""your representation       of all this might make me quite easy. But I know the foundation is unjust.       Caroline is incapable of wilfully deceiving anyone; and all that I can       hope in this case is that she is deceiving herself.""","""That is right. You could not have started a more happy idea, since you       will not take comfort in mine. Believe her to be deceived, by all means.       You have now done your duty by her, and must fret no longer.""",I-OTHER,Chapter 21,test
65,"""That is right. You could not have started a more happy idea, since you       will not take comfort in mine. Believe her to be deceived, by all means.       You have now done your duty by her, and must fret no longer.""","""But, my dear sister, can I be happy, even supposing the best, in       accepting a man whose sisters and friends are all wishing him to marry       elsewhere?""",B-OTHER,Chapter 21,test
66,"""But, my dear sister, can I be happy, even supposing the best, in       accepting a man whose sisters and friends are all wishing him to marry       elsewhere?""","""You must decide for yourself,""",B-OTHER,Chapter 21,test
67,"""You must decide for yourself,""","""and if, upon mature       deliberation, you find that the misery of disobliging his two sisters is       more than equivalent to the happiness of being his wife, I advise you by       all means to refuse him.""",B-OTHER,Chapter 21,test
68,"""and if, upon mature       deliberation, you find that the misery of disobliging his two sisters is       more than equivalent to the happiness of being his wife, I advise you by       all means to refuse him.""","""How can you talk so?""",I-OTHER,Chapter 21,test
69,"""How can you talk so?""","""You must know that       though I should be exceedingly grieved at their disapprobation, I could       not hesitate.""",B-OTHER,Chapter 21,test
70,"""You must know that       though I should be exceedingly grieved at their disapprobation, I could       not hesitate.""","""I did not think you would; and that being the case, I cannot consider       your situation with much compassion.""",I-OTHER,Chapter 21,test
71,"""I did not think you would; and that being the case, I cannot consider       your situation with much compassion.""","""But if he returns no more this winter, my choice will never be required.       A thousand things may arise in six months!""",B-OTHER,Chapter 21,test
72,"""It keeps him in good       humour,""","""and I am more obliged to you than I can express.""",B-START,Chapter 22,test
73,"""My dear madam,""","""this invitation is particularly gratifying,       because it is what I have been hoping to receive; and you may be very       certain that I shall avail myself of it as soon as possible.""",B-START,Chapter 22,test
74,"""this invitation is particularly gratifying,       because it is what I have been hoping to receive; and you may be very       certain that I shall avail myself of it as soon as possible.""","""But is there not danger of Lady Catherine's disapprobation here, my good       sir? You had better neglect your relations than run the risk of offending       your patroness.""",I-START,Chapter 22,test
75,"""But is there not danger of Lady Catherine's disapprobation here, my good       sir? You had better neglect your relations than run the risk of offending       your patroness.""","""My dear sir,""",B-OTHER,Chapter 22,test
76,"""My dear sir,""","""I am particularly obliged to you for       this friendly caution, and you may depend upon my not taking so material a       step without her ladyship's concurrence.""",B-OTHER,Chapter 22,test
77,"""I am particularly obliged to you for       this friendly caution, and you may depend upon my not taking so material a       step without her ladyship's concurrence.""","""You cannot be too much upon your guard. Risk anything rather than her       displeasure; and if you find it likely to be raised by your coming to us       again, which I should think exceedingly probable, stay quietly at home,       and be satisfied that we shall take no offence.""",I-OTHER,Chapter 22,test
78,"""You cannot be too much upon your guard. Risk anything rather than her       displeasure; and if you find it likely to be raised by your coming to us       again, which I should think exceedingly probable, stay quietly at home,       and be satisfied that we shall take no offence.""","""Believe me, my dear sir, my gratitude is warmly excited by such       affectionate attention; and depend upon it, you will speedily receive from       me a letter of thanks for this, and for every other mark of your regard       during my stay in Hertfordshire. As for my fair cousins, though my absence       may not be long enough to render it necessary, I shall now take the       liberty of wishing them health and happiness, not excepting my cousin       Elizabeth.""",B-OTHER,Chapter 22,test
